participant	content
MOT:	look at me .
MOT:	how's that ?
MOT:	Rick come over here .
MOT:	good boy .
MOT:	can you put the nails in ?
MOT:	do you like Hoodsys ?
MOT:	can you use it some more ?
MOT:	in the basket .
MOT:	Rick look .
MOT:	what are you cooking ?
CHI:	open door .
CHI:	green .
MOT:	isn't she cute ?
MOT:	oops [/?] .
CHI:	dog .
MOT:	sit down .
MOT:	Rick who's this ?
MOT:	Rick come here .
MOT:	count .
MOT:	look at momma .
MOT:	okay .
MOT:	you're looking at me nice .
MOT:	oh , Rick .
CHI:	Hoodsy .
MOT:	who's this ?
CHI:	hi xxx .
MOT:	good boy .
CHI:	cow .
MOT:	good boy Rick .
MOT:	good boy .
MOT:	oh oh , .
CHI:	go to +/.
CHI:	stairs .
MOT:	can you give him a ride in the elevator ?
MOT:	Rick , where are we going tonight ?
MOT:	good boy .
MOT:	okay .
MOT:	whoops [/?] .
MOT:	put them in the bus .
CHI:	I want tv .
MOT:	you knocked them all over again .
MOT:	there she comes .
MOT:	and what's this number ?
MOT:	good boy .
MOT:	there it goes .
MOT:	look .
MOT:	what's this Rick ?
MOT:	good boy .
MOT:	you did a good job .
MOT:	good boy .
MOT:	there he goes .
CHI:	bugs .
MOT:	Rick look .
MOT:	here let mommy show you .
MOT:	Rick come here .
CHI:	want help .
MOT:	Rick look .
MOT:	no , what's this ?
MOT:	where's it going ?
CHI:	hi Grover .
MOT:	that's a riding horse .
MOT:	Rick here's the other house .
MOT:	look at him .
MOT:	twiddle bugs .
MOT:	Rick .
MOT:	nana's house , yeah .
MOT:	no seatbelts on that train Rick .
MOT:	Rick look .
MOT:	Rick , what's he holding ?
CHI:	xxx .
CHI:	want help .
MOT:	touch your tummy .
MOT:	Rick .
MOT:	are you gonna make something for breakfast ?
MOT:	let's call them up .
CHI:	meow [/?] .
CHI:	cow .
CHI:	jelly .
CHI:	xxx .
CHI:	cookies ?
MOT:	<oops , crash> [/?] .
CHI:	broken .
CHI:	nana's .
MOT:	candles .
CHI:	hang up phone .
CHI:	knife .
MOT:	we're going to have supper over there .
MOT:	kiss Bert .
MOT:	Rick do this .
CHI:	all the shoes .
MOT:	there's another one .
CHI:	cookies .
MOT:	are you watching her ?
CHI:	want Dan .
MOT:	give her a ride .
MOT:	yeah , we have bacon for breakfast sometimes , too .
MOT:	daddy's gonna come too .
MOT:	say choo@o choo@o choo@o .
CHI:	no ?
CHI:	house .
CHI:	hot+cake .
CHI:	pick up cow .
CHI:	six .
CHI:	hi .
MOT:	look at mom .
MOT:	that's nice Rick .
MOT:	say choo@o choo@o choo@o .
MOT:	gonna put some more people in ?
MOT:	do you like it ?
MOT:	raccoon .
MOT:	put them in .
MOT:	are you gonna give her a ride in there too ?
MOT:	Rick .
CHI:	glasses .
MOT:	Sesame_Street .
MOT:	now shut the door .
MOT:	Rick look .
MOT:	good boy .
MOT:	what is this ?
MOT:	that's good picking them up .
MOT:	look .
MOT:	Rick look .
MOT:	Rick , look .
MOT:	look .
CHI:	one .
CHI:	tv's on .
MOT:	look .
CHI:	in the water .
MOT:	he's sitting in the block .
MOT:	let me kiss her .
CHI:	Hoodsys .
MOT:	you put them in the bus .
CHI:	inside block .
MOT:	look .
CHI:	face .
MOT:	come on sit up .
CHI:	play bus .
CHI:	daddy work .
MOT:	Oscar .
MOT:	Rick look .
MOT:	Rick .
CHI:	page [/?] page .
MOT:	Rick .
MOT:	meow [/?] .
MOT:	what's he got in his hands ?
MOT:	look .
CHI:	byebye .
CHI:	all done .
CHI:	lunch .
CHI:	wind down .
MOT:	pick up the cow .
MOT:	okay .
MOT:	there's another one , too .
CHI:	green .
CHI:	want help .
MOT:	that's the cow right there .
MOT:	down your back .
MOT:	make her go down here .
CHI:	Bert .
MOT:	that's good .
MOT:	you do .
CHI:	hot+cake .
MOT:	what are those ?
CHI:	xxx .
MOT:	look .
CHI:	the bus .
MOT:	here .
CHI:	more candy ?
MOT:	drive the cars in .
MOT:	did you say byebye ?
CHI:	sandwich .
MOT:	Rick ?
MOT:	there .
MOT:	Rick .
CHI:	cow .
MOT:	yeah , the little tire came off it , didn't it yeah ?
MOT:	good boy .
CHI:	green .
CHI:	okay ?
CHI:	get page .
MOT:	yeah .
CHI:	up stairs .
CHI:	xxx .
MOT:	well , you'll hafta open it and see .
MOT:	you want Dan ?
MOT:	no , what's this number ?
CHI:	bake it .
CHI:	put back in .
MOT:	what's this Rick ?
MOT:	Rick .
MOT:	kiss raccoon .
MOT:	look .
MOT:	you're putting it back in .
MOT:	there you go .
MOT:	are we stuck ?
CHI:	nana house .
MOT:	you like the train ?
CHI:	need help .
MOT:	look .
MOT:	good boy .
MOT:	good boy .
CHI:	three .
CHI:	xxx .
MOT:	good boy .
CHI:	get on bus .
MOT:	handle so you can carry it .
CHI:	xxx .
MOT:	Grover .
MOT:	Rick touch your tummy .
CHI:	Sesame_Street .
MOT:	Rick .
MOT:	Rick .
MOT:	you shut the door huh [/?] ?
MOT:	want me to help ?
CHI:	xxx .
MOT:	good boy .
MOT:	okay .
CHI:	wind down .
MOT:	yes , good boy .
MOT:	need some help ?
MOT:	good boy .
CHI:	glasses .
MOT:	horse .
MOT:	who's that ?
CHI:	water .
MOT:	come on over here and see me .
MOT:	she's such a good kitty .
CHI:	want bacon .
MOT:	Grover , he's talking to Rick .
MOT:	hm: [/?] ?
MOT:	say hi Grover .
CHI:	hot+cakes .
CHI:	want help .
MOT:	oops [/?] we missed one .
MOT:	come here .
MOT:	what ?
MOT:	can I kiss her too ?
MOT:	Rick look .
MOT:	and I'll help you .
MOT:	Rick , sit up .
MOT:	that's a good man .
MOT:	put some bacon in .
CHI:	want bacon ?
CHI:	count .
MOT:	who's a good boy ?
MOT:	Rick .
MOT:	oh , that was nice kissing .
MOT:	mommy will help .
MOT:	yeah , who's this ?
CHI:	green .
MOT:	okay ?
MOT:	put Bert inside the block .
MOT:	Rick look .
CHI:	pegs ?
MOT:	Rick .
MOT:	there she is .
MOT:	good boy .
CHI:	in his hand ?
MOT:	Rick look .
CHI:	green .
MOT:	whoops [/?] .
MOT:	she's over here .
MOT:	who's this Rick ?
CHI:	make sandwich .
MOT:	there goes Mickey .
CHI:	xxx .
MOT:	you gonna hang up the phone ?
CHI:	want Dan .
CHI:	turn the crank .
MOT:	huh [/?] Rick ?
MOT:	Rick , don't touch .
CHI:	want Dan .
MOT:	pound these in .
MOT:	there she goes .
MOT:	good boy .
MOT:	Rick look .
CHI:	oh , .
MOT:	Annie .
MOT:	Rick what's this ?
MOT:	good boy .
MOT:	green , that's right .
CHI:	kiss .
CHI:	no .
MOT:	good boy .
MOT:	up the stairs .
MOT:	you're shaking them up ?
CHI:	dishes .
CHI:	basket ?
MOT:	oh „ it's stuck .
MOT:	you're screwing in good .
MOT:	Rick .
MOT:	put them in here .
CHI:	up the stairs .
MOT:	oh , nice kitty .
MOT:	put it in .
MOT:	who's that ?
MOT:	that's Grover talking to you Rick .
MOT:	good boy .
MOT:	good boy .
MOT:	yeah , sounds good huh [/?] ?
CHI:	the seatbelt .
MOT:	that's for you .
CHI:	cookie .
CHI:	train ?
MOT:	yeah .
MOT:	put it down Rick .
MOT:	nice kitty+cat .
CHI:	want candy ?
CHI:	xxx .
MOT:	Rick .
CHI:	I want tv .
MOT:	fence .
