participant	content
MOT:	pretty good .
MOT:	yeah , what kind of donut ?
MOT:	mhm [/?] .
MOT:	a c@l [/?] +/.
MOT:	you making stairs .
MOT:	all over the table , yeah !
MOT:	make a q@l .
CHI:	xxx the owl .
MOT:	make your house .
CHI:	yes .
MOT:	make e@l [/?] .
CHI:	nose .
MOT:	good boy !
MOT:	good boy !
MOT:	and the bath+room ?
MOT:	okay here's your class+room .
CHI:	did it .
MOT:	xxx the owl .
CHI:	what's that ?
MOT:	see ?
MOT:	put this here Rick so I can draw .
MOT:	how about hair ?
MOT:	yeah !
CHI:	no .
MOT:	okay .
MOT:	okay , but where does it go ?
MOT:	oops , oh , that's right .
MOT:	good boy Rick .
MOT:	oh , yeah , those are the movies .
MOT:	good boy !
CHI:	xxx owl .
MOT:	like this ?
CHI:	hammer .
MOT:	what goes here ?
CHI:	this .
MOT:	oh , we [/?] upstairs we have a curtain and a shutter , huh [/?] ?
MOT:	whoops [/?] !
MOT:	Rick look .
MOT:	and xxx the owl lives what +/.
MOT:	you wanna erase ?
MOT:	we'll go to the living room .
MOT:	what do you put on the door ?
MOT:	come here .
CHI:	made a hose [/?] hose please .
CHI:	xxx .
MOT:	Rick what else you wanna do ?
MOT:	Rick what do you wanna do ?
CHI:	make Elaine and Rogers .
MOT:	how many ?
MOT:	it's nice talking Rick .
MOT:	up the stairs , good boy !
MOT:	good boy !
MOT:	Rick what color ?
MOT:	how many ?
MOT:	good boy .
CHI:	making a house .
CHI:	xxx .
CHI:	school .
MOT:	what else ?
CHI:	make a [/?] doors .
MOT:	see all the little windows ?
MOT:	that's good .
MOT:	Jonathan , good boy .
CHI:	chair .
CHI:	make a school bus .
MOT:	good boy , Rick .
MOT:	that's nice talking Rick .
MOT:	no .
MOT:	look .
CHI:	make it .
MOT:	make what ?
CHI:	xxx .
MOT:	give him some eyebrows .
MOT:	say , I play .
MOT:	that's an antenna .
MOT:	you made an e@l [/?] right !
MOT:	who lives there , Rick ?
MOT:	Rick , what do you do with this ?
CHI:	make a [/?] showers .
MOT:	good boy , Rick .
MOT:	good boy , Rick .
CHI:	open please .
MOT:	good boy , you're drawing .
CHI:	make a trolley , please .
CHI:	make an engine .
CHI:	<one , two , two , three , four> [/?] .
MOT:	look at mommy .
CHI:	there .
MOT:	where's the hose ?
MOT:	that's good .
MOT:	we'll do over here .
MOT:	what else in the bath+room ?
MOT:	Rick what do you wanna do ?
MOT:	doing the eraser , good boy .
CHI:	Lady_Elaine .
MOT:	that's right .
CHI:	yes .
MOT:	can you do ?
CHI:	go .
MOT:	good boy Rick .
CHI:	yes .
MOT:	what's that ?
MOT:	Rick .
MOT:	you want stairs ?
MOT:	<i bet> [/?] what <is it> [/?] , is it ?
MOT:	the +/.
MOT:	Lady_Evelyn .
MOT:	what ?
MOT:	hammer nails .
MOT:	good boy .
CHI:	make a nabschool@c .
MOT:	you made an o@l .
MOT:	good boy !
MOT:	Mister_Rogers , okay .
MOT:	here he is .
MOT:	what else do we want ?
MOT:	looks like a mouse .
CHI:	yes , please .
CHI:	my present .
CHI:	make a trolley .
CHI:	I play .
MOT:	here's the closet Rick .
CHI:	cake .
CHI:	a hose .
MOT:	what's this ?
MOT:	what does xxx say ?
MOT:	what else do you need ?
MOT:	no , Rick look , count the green screws .
CHI:	hose a cellar .
MOT:	good boy !
MOT:	you made a house .
MOT:	who else ?
CHI:	xxx .
MOT:	good boy .
CHI:	what's that ?
MOT:	isn't that pretty ?
MOT:	okay , Rick what do you wanna make in here ?
MOT:	Lady_Evelyn , yeah !
CHI:	popcorn .
MOT:	here's Rick .
MOT:	we'll make another house .
MOT:	good boy !
CHI:	make a [/?] bath+rooms .
MOT:	good boy , Rick .
CHI:	who else ?
CHI:	I want present please .
MOT:	a donut ?
CHI:	Elaine [/?] Lady_Elaine .
MOT:	she's nice , huh ?
MOT:	there's the bath+room right there .
MOT:	isn't that nice Rick ?
MOT:	put the nails in .
MOT:	can you make q@l [/?] ?
MOT:	here are the doors .
MOT:	what does Lady_Elaine look like ?
MOT:	Rick , let's erase .
MOT:	alright .
MOT:	what's this ?
MOT:	what's that ?
MOT:	Rick who lives there ?
CHI:	make Elaine .
MOT:	good boy .
MOT:	what do you say to Helen ?
MOT:	this is Rick , remember ?
MOT:	can he walk up stairs to x@l-s house ?
MOT:	how many ?
MOT:	what's this ?
MOT:	Rick what does that say ?
CHI:	triangle .
CHI:	doing the chalk .
