participant	content
MOT:	Rick use your eraser .
CHI:	oh , no .
MOT:	Lady_Evelyn .
CHI:	xxx .
CHI:	who else ?
CHI:	you did because you were such a good boy .
MOT:	Rick who lives in the castle ?
MOT:	King_Friday ?
MOT:	Rick , what is this ?
MOT:	here .
MOT:	good boy , Rick .
MOT:	good boy Rick .
MOT:	that's nice Rick .
MOT:	how about hair ?
MOT:	look at mama .
MOT:	you turn it on and you can see .
MOT:	Rick look .
MOT:	what's in your room ?
MOT:	oh , Rick look .
MOT:	what are these Rick ?
CHI:	what's that ?
MOT:	is she there ?
MOT:	Rick .
MOT:	you're erasing .
CHI:	xxx .
MOT:	good boy .
CHI:	ca [/?] +/.
MOT:	in the closet .
MOT:	look at mommy .
MOT:	make the stairs , okay .
MOT:	you like Lady_Elaine ?
MOT:	what are you doing ?
CHI:	break .
MOT:	good boy !
MOT:	the light .
CHI:	Lady_Elaine .
CHI:	movies , please .
MOT:	do we need a sink ?
CHI:	my present .
CHI:	tag .
MOT:	what did you do ?
MOT:	you tell me what you want .
MOT:	yeah , your present came in that all wrapped up nice .
CHI:	make a tag , please .
CHI:	what's this ?
MOT:	how many ?
MOT:	you making stairs .
CHI:	who else ?
CHI:	a broken !
MOT:	look at mama .
MOT:	Rick make I .
MOT:	Ben .
MOT:	Rick what's this ?
MOT:	is xxx his friend ?
CHI:	j@l .
MOT:	you got the other piece .
MOT:	do we need a blanket ?
MOT:	okay , let's erase this and we'll make a trolley , okay .
MOT:	what do you wanna do ?
MOT:	good boy .
MOT:	you took all the nails out .
MOT:	here make him walk .
CHI:	c@l .
MOT:	got to write with chalk .
MOT:	Rick , what are you doing ?
MOT:	here's the coffee table .
CHI:	<one , two , three> [/?] .
MOT:	how about some ears ?
CHI:	make a donut , please .
MOT:	that's right .
MOT:	Rick can you make a mouth ?
MOT:	good boy !
MOT:	good boy .
CHI:	like this .
CHI:	window ?
MOT:	yeah , good !
CHI:	make a [/?] stairs , please .
MOT:	Rick .
MOT:	can he walk up stairs to x@l-s house ?
MOT:	you remembered her too !
MOT:	the dog .
MOT:	who's that ?
MOT:	what do you do ?
MOT:	and what do you do at school Rick ?
MOT:	what do you wanna do ?
MOT:	what ?
MOT:	four [/?] .
CHI:	hoot@o hoot@o .
MOT:	donuts today right ?
MOT:	okay , good boy .
MOT:	good boy !
CHI:	doing eraser .
MOT:	where's the hose ?
CHI:	what's this .
MOT:	good boy !
MOT:	here's a tiger Rick .
MOT:	you plugged it in .
MOT:	there she is !
MOT:	for a pencil .
MOT:	here's your lunch box .
MOT:	Rick , when we got your hair cut , what did you earn ?
MOT:	there's her hair .
MOT:	oh , a tv , okay .
MOT:	that's right , Rick .
MOT:	good boy .
CHI:	hammer nails .
MOT:	this is the light Rick .
MOT:	Rick look .
CHI:	make a couch .
MOT:	what ?
MOT:	that's Ben .
MOT:	good boy .
MOT:	a c@l [/?] +/.
MOT:	what's this ?
CHI:	nose .
MOT:	make what ?
MOT:	Rick look .
MOT:	&-um [/?] wanna make your lunch box Rick ?
MOT:	Jonathan , good boy .
CHI:	made a hose [/?] hose please .
MOT:	help , okay .
MOT:	what do you say to Helen ?
MOT:	oop [/?] !
MOT:	good boy .
MOT:	make a q@l Rick .
CHI:	yes .
MOT:	good boy , Rick .
MOT:	Rick , come here .
MOT:	the school bus ?
MOT:	you made a house .
MOT:	yeah !
CHI:	school .
MOT:	what's he doing ?
CHI:	Rick .
CHI:	outlet .
CHI:	thank you present .
CHI:	xxx .
MOT:	oh , Lady_Elaine on Mister_Rogers .
CHI:	square !
MOT:	you're a good boy !
MOT:	where does this piece go ?
MOT:	you like popcorn at the movies .
MOT:	where's the cellar ?
CHI:	circle .
CHI:	Rick's bed+room .
MOT:	good boy .
CHI:	what kind , kind .
CHI:	Mike_Doe .
CHI:	chimney .
CHI:	get down .
MOT:	no , just +/.
CHI:	make a [/?] trees .
MOT:	who's this ?
MOT:	Rick look , make o@l .
