participant	content
MOT:	well , kind of a bath .
MOT:	good boy .
MOT:	that's right .
MOT:	okay , you put some windows .
MOT:	make b@l .
MOT:	oh , present .
MOT:	good boy .
MOT:	that's good .
CHI:	a t@l r@l .
MOT:	Rick , look .
MOT:	make k@l .
CHI:	go night .
MOT:	there's t@l [/?] .
MOT:	goes like this .
CHI:	have [/?] gonna have +/.
CHI:	I want a cards .
MOT:	Rick , what am I doing ?
MOT:	good boy .
MOT:	pretty good .
CHI:	oh , +/.
MOT:	good job .
CHI:	I go up ?
CHI:	I turn around .
MOT:	a little bit more of a hook .
MOT:	and what's this ?
CHI:	I go up ?
MOT:	Rick look .
MOT:	watch .
MOT:	yeah .
CHI:	a biked fall down .
MOT:	where does that go ?
MOT:	see the mustard ?
MOT:	a bell to call everybody in .
MOT:	good boy .
MOT:	what about the pillow ?
CHI:	oh , paintbrushes .
MOT:	good boy .
MOT:	Rick , look at these cards .
MOT:	good boy .
MOT:	but what is this over here ?
CHI:	xxx .
MOT:	we saw at the circus .
MOT:	no Rick , look .
MOT:	that's right .
MOT:	it looks like fun .
CHI:	grey squirrel .
MOT:	now Rick , watch .
MOT:	oh , good boy .
MOT:	good boy Rick .
MOT:	look at this Rick .
CHI:	blue !
CHI:	a truck .
MOT:	good boy .
CHI:	put in .
MOT:	in the bath+tub !
CHI:	and a duck .
CHI:	orange t@l .
MOT:	good job Rick .
CHI:	you .
MOT:	sit up .
MOT:	no , that's short .
MOT:	put it right on the chair .
CHI:	gone .
CHI:	purple r@l .
CHI:	now <i go> [/?] I go up please ?
MOT:	that's better .
MOT:	make c@l .
MOT:	give me the card .
MOT:	how about the clock ?
MOT:	here you go .
CHI:	I put a socks .
MOT:	hand me the cards .
MOT:	where's the big one ?
MOT:	you put it in the piggy+bank .
MOT:	good boy , that's better .
MOT:	in the bed+room .
MOT:	Rick what am I doing ?
MOT:	<see him> [/?] have him sit up on the chair ?
MOT:	can you find the green balloon ?
CHI:	e@l [/?] .
MOT:	good boy .
CHI:	nothing .
CHI:	I'll take bath ?
CHI:	orange .
CHI:	paintbrushes .
MOT:	where do you put it ?
MOT:	t@l [/?] +/.
MOT:	now watch .
MOT:	it's a little bike , a big one , and the biggest one .
MOT:	they're playing in the tree .
CHI:	antenna .
CHI:	picture house .
MOT:	what are you gonna make ?
CHI:	Rick crying .
MOT:	point to it again .
CHI:	a duck .
MOT:	what color are her shoes ?
MOT:	Rick , what color are her +/.
MOT:	what's she doing here ?
CHI:	i [/?] I can put away ?
MOT:	good boy !
MOT:	put it under .
CHI:	gone .
CHI:	I put a raisins .
CHI:	you play with +/.
MOT:	those are nice .
MOT:	yellow +/.
CHI:	xxx cards .
MOT:	look .
MOT:	what's this Rick ?
CHI:	with this .
MOT:	Rick , look .
MOT:	you're putting it in .
MOT:	find the letters .
CHI:	stay here .
MOT:	<he's draw> [/?] what's he making ?
MOT:	good boy .
MOT:	Rick look .
MOT:	nice work .
MOT:	Rick , look at mom .
MOT:	that [/?] you know what goes inside ?
MOT:	we could .
CHI:	cookie .
CHI:	go in +/.
CHI:	t@l [/?] +/.
CHI:	he's swimming .
MOT:	it's all clean .
CHI:	like that .
MOT:	okay , where does the train go ?
CHI:	ah [/?] +/.
MOT:	well where do you think the lamp would go ?
MOT:	good boy .
MOT:	what is that picture ?
MOT:	that's right Rick .
CHI:	blue .
MOT:	look at mommy .
MOT:	hand me four owls .
MOT:	it's all_gone .
MOT:	good job Rick .
MOT:	you're making a nice house .
MOT:	no .
MOT:	good boy .
MOT:	get another card .
MOT:	for your feet .
MOT:	what [/?] what is it ?
MOT:	put them down .
MOT:	goes on the milk truck .
MOT:	nice job Rick .
MOT:	Rick look , what's this ?
MOT:	Rick look .
MOT:	with the garbage , that's right .
MOT:	Rick , look .
MOT:	Rick look .
CHI:	this .
CHI:	xxx .
MOT:	that's the girl .
MOT:	see , lift it like that .
MOT:	that's right .
CHI:	a house .
MOT:	what room is this ?
MOT:	which room do they go in ?
MOT:	could you make the bricks ?
MOT:	turn it around .
CHI:	Stan'll look and sprinkle .
CHI:	put +/.
CHI:	you write .
MOT:	here's a duck .
MOT:	erase it .
MOT:	where's the circles ?
MOT:	these are records .
CHI:	bird's cage .
MOT:	where do you think you'd put that ?
MOT:	good boy .
CHI:	I turn a [/?] over ?
CHI:	oh , .
CHI:	what ?
MOT:	good boy Rick .
MOT:	it goes with the tv .
CHI:	xxx .
MOT:	Rick dump out all the letters first .
CHI:	take this off .
MOT:	good job .
MOT:	look .
MOT:	good boy .
MOT:	mouth .
MOT:	but what is this ?
CHI:	&-um [/?] a chart .
CHI:	go night .
MOT:	okay .
MOT:	yeah .
MOT:	go ahead .
MOT:	you make a house .
MOT:	say tracks .
MOT:	in his cage .
CHI:	make it in .
MOT:	Rick , what are you doing ?
CHI:	can't find .
CHI:	yellow car .
MOT:	that was good .
MOT:	what's the animal ?
CHI:	I put away ?
MOT:	see .
MOT:	what's this ?
CHI:	fruit .
CHI:	<no it> [/?] no flush .
MOT:	what are you gonna make ?
MOT:	i@l [/?] +/.
MOT:	look at that .
CHI:	shwa [/?] shwa [/?] put a light on .
MOT:	good boy .
MOT:	Rick .
MOT:	hand me the cards .
CHI:	I do one more time ?
MOT:	the living+room , that's right .
CHI:	a good boy xxx +/.
MOT:	no , you needta make a nice house .
CHI:	on [/?] lions .
MOT:	good boy .
MOT:	Rick , what did you do ?
MOT:	what do you wanna make ?
MOT:	well +/.
MOT:	no Rick , that's the teapot , and the room is a kitchen .
CHI:	yellow sock .
CHI:	owls .
MOT:	good boy .
CHI:	teapot .
MOT:	who's in the tree ?
MOT:	that's right .
CHI:	in a +/.
MOT:	okay .
MOT:	what's that ?
CHI:	no .
MOT:	good boy Rick .
CHI:	I playing .
MOT:	match it up .
MOT:	what did you make ?
MOT:	good boy .
MOT:	fruit .
MOT:	good boy .
MOT:	erase it .
CHI:	what happen ?
MOT:	good .
MOT:	okay .
MOT:	good boy .
MOT:	okay .
MOT:	good boy .
CHI:	mustard .
CHI:	shwa [/?] drove [/?] bikes .
MOT:	do you like hotdogs ?
CHI:	make a big house .
CHI:	no .
MOT:	oh , you can leave that on there .
CHI:	<i want> [/?] I want a cards .
CHI:	a paintbrushes .
CHI:	a record player .
MOT:	it goes with the easel .
MOT:	what are those ?
CHI:	taking the bath .
MOT:	that's a big roof .
CHI:	a hose .
MOT:	there's the boy and what's this ?
MOT:	Rick , look .
MOT:	no .
CHI:	putting [/?] putting a hose .
MOT:	go ahead .
MOT:	how about his arms ?
CHI:	ouch [/?] !
CHI:	teapottie .
MOT:	what are you doing ?
CHI:	no .
MOT:	okay .
MOT:	good boy .
MOT:	good boy .
MOT:	what am I doing ?
MOT:	Rick can you make the puzzle ?
MOT:	erase that .
MOT:	what are these ?
MOT:	Rick , where do you put the puppy dog ?
MOT:	how about the flowers ?
MOT:	that's a nice bike Rick .
MOT:	good boy .
MOT:	how do they go ?
MOT:	good boy .
MOT:	think it goes +/.
MOT:	count the candles .
MOT:	that's good .
MOT:	can you write Rick ?
CHI:	a face .
MOT:	does he got any hair ?
MOT:	and what's this ?
MOT:	you spelled tie .
MOT:	let's see .
CHI:	a house .
CHI:	a turtle .
MOT:	Rick , point to the circle in the picture .
MOT:	good boy .
MOT:	good boy .
MOT:	Rick look .
CHI:	this a milks .
MOT:	oh , well , that seems like it would go , but +/.
MOT:	good boy .
MOT:	that's right Rick .
MOT:	you do .
CHI:	red .
MOT:	and what room is this ?
MOT:	good boy .
CHI:	that .
MOT:	tree [/?] .
MOT:	good job .
MOT:	good boy .
MOT:	Rick +/.
MOT:	it's all_gone .
CHI:	xxx .
MOT:	good boy Rick .
CHI:	erase xxx .
MOT:	there .
MOT:	ah [/?] all_gone !
MOT:	okay .
CHI:	<where's> [/?] where's +/.
MOT:	two wheels .
MOT:	Rick , cross your legs .
CHI:	oh , paintbrushes .
CHI:	<one , two , three , four> [/?] .
MOT:	what's this Rick ?
MOT:	no you don't touch my clocks .
MOT:	good boy Rick .
MOT:	Rick , look .
MOT:	there's the garage part .
MOT:	a stool .
MOT:	yeah .
CHI:	where's t@l ?
MOT:	no , start over here .
CHI:	what ?
MOT:	write the word .
MOT:	and what's that ?
MOT:	Rick , sit up .
MOT:	you could put the books in the living+room .
CHI:	xxx .
CHI:	Rick fall down in car .
CHI:	what tv ?
MOT:	roar [/?] that's right !
MOT:	okay , what goes in the kitchen Rick ?
MOT:	good boy .
CHI:	put in a hose .
MOT:	no , you .
MOT:	that's good .
CHI:	put .
MOT:	no , up there .
CHI:	this ?
MOT:	a yellow bird .
MOT:	good boy .
MOT:	yeah milk .
MOT:	look .
CHI:	make a cake ?
CHI:	xxx .
CHI:	tree .
CHI:	one [/?] I play three .
MOT:	oh , nice hair !
MOT:	match it up .
CHI:	I turn a [/?] over .
CHI:	no .
MOT:	write your name .
MOT:	good boy .
MOT:	open the present Rick .
MOT:	where do you think the barrels go with ?
CHI:	I write .
MOT:	see this Rick ?
MOT:	sit up .
CHI:	a books .
CHI:	I put cards .
MOT:	good job .
MOT:	that could have gone xxx .
CHI:	xxx .
MOT:	what do we needta do ?
MOT:	Rick , what are you doing ?
CHI:	oh , go duck .
MOT:	go ahead .
MOT:	what's this ?
MOT:	good boy .
CHI:	xxx .
MOT:	what are you doing ?
CHI:	erase .
MOT:	good boy .
