participant	content
CHI:	it's a purple triangle .
MOT:	put the cups away .
MOT:	hafta wait , to wait .
MOT:	what's this here ?
CHI:	good boy .
CHI:	xxx .
CHI:	put it in .
MOT:	what's this roger ?
MOT:	does that go right there ?
MOT:	you hafta wait .
MOT:	roger , look_it .
MOT:	oop [/?] .
MOT:	what's the matter roger ?
MOT:	looks like one of them lost it's wheels .
MOT:	let's count them again .
CHI:	put the blocks away .
CHI:	twinkie .
MOT:	what are they doing ?
CHI:	play with blocks and Cabbage_Patch .
CHI:	okay hand .
MOT:	build the tower again .
CHI:	find cars .
MOT:	smells good .
CHI:	oval .
MOT:	put them all away .
CHI:	<you make a> [/?] you make a triangle ?
MOT:	yellow .
MOT:	you did a good job !
MOT:	what's that ?
CHI:	yellow car .
CHI:	good boy .
MOT:	parallelogram .
MOT:	wanna play with the blocks ?
CHI:	want a bite ?
CHI:	star .
CHI:	it fell down .
MOT:	don't touch xxx .
MOT:	what do you need ?
CHI:	what +/.
CHI:	find cars .
MOT:	come here , roger .
CHI:	good job .
CHI:	xxx .
CHI:	butterfly .
MOT:	wipe your hand .
MOT:	that's a truck .
MOT:	hm:: [/?] ?
MOT:	all done the dog .
MOT:	alright .
MOT:	put it in .
MOT:	good .
CHI:	no talking .
CHI:	<it's> [/?] it's red .
MOT:	yeah .
CHI:	pentagon ?
CHI:	here's orange .
MOT:	what color is it ?
CHI:	and hand .
CHI:	wanna bite ?
CHI:	toast .
MOT:	is that it ?
MOT:	put the pentagon in the box .
CHI:	lotion .
MOT:	okay .
MOT:	what's this roger ?
CHI:	all done .
CHI:	<seven six> [/?] .
CHI:	<one two three four five six seven eight> [/?] .
CHI:	no .
CHI:	xxx .
CHI:	hand .
MOT:	look at all the cars .
CHI:	put the star .
CHI:	roger .
MOT:	which one is Ann's car ?
MOT:	wanna play with the puzzles ?
MOT:	okay .
CHI:	want milk .
MOT:	line up all the cars .
CHI:	it's blue .
CHI:	Ann's car .
CHI:	one bite .
MOT:	zip up .
CHI:	no , not go to museum .
MOT:	what's that ?
CHI:	<one two three four five six seven> [/?] .
MOT:	what's your telephone number ?
CHI:	blue [/?] blue pentagon .
CHI:	microphone .
MOT:	how about this one ?
MOT:	where's the police car ?
CHI:	a moon .
MOT:	yep , open it up .
CHI:	put it in .
CHI:	<it's> [/?] it's red .
MOT:	what's this ?
MOT:	yeah .
CHI:	it's a purple xxx .
CHI:	police car .
CHI:	help ?
CHI:	put the star in .
CHI:	that's right .
MOT:	what do you need roger ?
CHI:	you make a car .
CHI:	to museum .
MOT:	hey [/?] , hands down .
CHI:	zipper up .
CHI:	purple .
CHI:	hi roger .
MOT:	roger .
MOT:	you put in the boat .
CHI:	red .
CHI:	door .
MOT:	what's this ?
CHI:	we got the pentagon ?
CHI:	police cars .
CHI:	need help .
CHI:	put it in .
MOT:	and what's this ?
MOT:	are you_all through ?
CHI:	want a bite ?
CHI:	need help .
CHI:	help game .
MOT:	what color is this one ?
CHI:	nice [/?] nice dreaming !
MOT:	hm: ?
MOT:	okay .
CHI:	home see Maura .
CHI:	xxx .
CHI:	oop [/?] it fell down .
MOT:	sit down .
CHI:	shapes .
CHI:	okay oh , bite .
MOT:	go like this .
MOT:	put all the blocks away .
MOT:	roger , no , you're working for the twinkie .
CHI:	good boy .
MOT:	it's a green car .
MOT:	okay .
MOT:	no .
MOT:	roger [/?] roger .
MOT:	that's mommy , yeah .
CHI:	purple red .
CHI:	beacon street .
CHI:	police man open the door .
MOT:	they're just cars .
MOT:	in a minute .
MOT:	oh „ a Porsche .
CHI:	car .
CHI:	xxx .
MOT:	you wanna open it up ?
CHI:	good boy .
MOT:	you have the duck .
MOT:	and this is a truck .
MOT:	can we make a triangle ?
CHI:	what do you want ?
CHI:	don't spill it .
CHI:	Ann's car .
MOT:	use a napkin .
CHI:	car .
CHI:	do you need help ?
CHI:	in a minute .
CHI:	pentagon .
MOT:	nice cars .
MOT:	good boy .
MOT:	yeah , it's a yellow car .
MOT:	yeah we made a square out_of the cars .
CHI:	sit down .
CHI:	no .
CHI:	okay .
CHI:	orange car .
MOT:	that's right .
MOT:	roger .
CHI:	xxx .
CHI:	butterfly .
MOT:	take the shapes out .
CHI:	it's a busybite@c .
CHI:	orange .
CHI:	purple diamond .
CHI:	get the raincoat .
MOT:	roger , who's that ?
CHI:	open the door .
MOT:	do you +/.
MOT:	here , can we line them up ?
MOT:	what's that ?
MOT:	good boy .
CHI:	good boy .
MOT:	what color's the circle ?
CHI:	want one .
MOT:	what's that ?
CHI:	twinkie .
CHI:	zipper up .
MOT:	count them .
CHI:	police car .
MOT:	what's this ?
MOT:	let's see .
MOT:	is that it ?
CHI:	want twinkie .
MOT:	okay .
MOT:	it's a police man ?
MOT:	well , they're not all police cars .
CHI:	you make a triangle .
MOT:	what's this ?
CHI:	mommy .
CHI:	orange .
MOT:	put it in the box .
CHI:	oop [/?] it fell down .
MOT:	Porsche .
MOT:	alright put the orange circle in the box .
MOT:	alright .
MOT:	make a police car .
CHI:	to museum .
MOT:	it's a truck .
MOT:	good job !
CHI:	to work .
MOT:	what's this roger ?
CHI:	need help .
CHI:	yeah put it in .
CHI:	need help .
MOT:	put the blocks away .
CHI:	no more twinkies .
MOT:	oops [/?] .
CHI:	roger .
MOT:	give me the cups .
MOT:	turn it around .
MOT:	roger you're gonna work for twinkie and chocolate milk ?
CHI:	want a bite ?
MOT:	that's an oval , yes .
CHI:	put in star .
MOT:	sit down .
CHI:	yeah .
MOT:	here , we'll just let you take a bite .
CHI:	purple .
CHI:	it's a butterfly .
MOT:	good boy .
CHI:	don't touch .
MOT:	roger .
MOT:	that's purple .
CHI:	want a bite ?
CHI:	put the white in .
MOT:	okay .
CHI:	take +/.
CHI:	put it in .
MOT:	gotta turn your hand like this .
MOT:	oh , pushing them all together ?
CHI:	give you a bite .
CHI:	present .
CHI:	microphone .
MOT:	open it .
MOT:	look at me .
MOT:	what is it ?
MOT:	ah [/?] .
CHI:	blue .
CHI:	six car .
CHI:	help game .
CHI:	oh , !
CHI:	good boy .
MOT:	yeah what color is the police car ?
MOT:	what's that ?
MOT:	look at me .
MOT:	to the museum .
MOT:	you have two police cars now .
CHI:	what do you want ?
MOT:	you need help ?
CHI:	that's old xxx .
MOT:	he opened the door .
MOT:	roger , what's your name ?
CHI:	twinkie .
CHI:	it's a bite .
CHI:	<it's , it's a> [/?] it's a orange car .
MOT:	I made a triangle with the cars .
MOT:	roger .
CHI:	their breakfast .
CHI:	we got +/.
MOT:	what do you need ?
CHI:	good job .
CHI:	a square .
MOT:	what's that ?
CHI:	Fruit_Roll_Ups .
MOT:	okay count the cars .
CHI:	take your blocks out .
MOT:	do you wanna +/.
MOT:	all_gone roger .
CHI:	their breakfast .
CHI:	yellow .
CHI:	butterfly .
CHI:	green .
CHI:	give me the cups .
MOT:	what color is this ?
MOT:	daddy's wrong .
CHI:	got the pentagon ?
MOT:	okay .
CHI:	put it in .
MOT:	who's this ?
CHI:	and hand .
CHI:	star .
MOT:	Maura's home .
CHI:	good boy .
CHI:	make a police car .
MOT:	it looks like a +/.
CHI:	need help .
MOT:	it's a butterfly , roger .
MOT:	we're gonna do the dog .
MOT:	this one looks like a Volkswagon , but I don't know +/.
CHI:	Lowell , Mass .
MOT:	wipe your mouth .
CHI:	it's a orange oval .
MOT:	alright .
MOT:	okay , put the milk down .
CHI:	zipper up .
CHI:	Grover .
MOT:	roger .
CHI:	you made this .
CHI:	good boy .
