participant	content
CHI:	bye Helen .
MOT:	oh , good .
MOT:	what am I doing ?
MOT:	strawberry milk .
MOT:	mommy will move the desk .
MOT:	okay .
CHI:	&-um [/?] I like it peaches .
CHI:	tables .
MOT:	<the little> [/?] +/.
CHI:	get off the table !
CHI:	sup [/?] a hotdogs and beans .
CHI:	colorful [/?] .
MOT:	roger , what's this ?
MOT:	she's gone .
CHI:	get off !
MOT:	give me that .
MOT:	no , they're +/.
MOT:	sit in the chair .
MOT:	<good_night bunny rabbit> [/?] .
CHI:	can i [/?] I come in ?
MOT:	no , you needta ask me .
CHI:	there .
MOT:	roger come here .
MOT:	no that's daddy's scratchy face .
MOT:	ah [/?] .
CHI:	<good_night cow jumping over moon> [/?] .
CHI:	&-uh [/?] please .
MOT:	okay .
MOT:	get the mother in there .
MOT:	bye .
MOT:	roger .
CHI:	hi there .
MOT:	the cow is .
MOT:	put the barn away .
CHI:	don't touch that .
CHI:	<make it> [/?] made a rolling pin .
CHI:	stand on the chairs .
MOT:	<we need> [/?] +/.
MOT:	right .
MOT:	what am I doing ?
CHI:	daddy's scratching a face .
MOT:	roger has a nice desk .
CHI:	mouth .
CHI:	go show Kathy .
CHI:	do you wanna make a bird ?
CHI:	do you wanna play ?
MOT:	that's right .
CHI:	boy is name David .
CHI:	pull your chair in .
MOT:	who rides the bike roger ?
MOT:	I don't know .
MOT:	oh , what's the Wizard_Of_Oz ?
CHI:	do you want some ?
CHI:	watching Wizard_Of_Oz .
CHI:	and you hafta wash your hands .
CHI:	<and quiet old lady> [/?] .
MOT:	he is .
CHI:	of [/?] +/.
CHI:	bye .
CHI:	hat .
MOT:	okay , let's put the people away .
CHI:	you roll .
MOT:	<good_night mouse> [/?] .
MOT:	roger , who's that ?
CHI:	there's the girl .
CHI:	that's mirror .
MOT:	okay .
CHI:	put it on the finger .
CHI:	<good_night bunny rabbit> [/?] .
CHI:	a circ [/?] eyes .
CHI:	do you wanna go get a cup ?
CHI:	girl .
MOT:	what are you doing ?
CHI:	sit .
MOT:	press the dough .
CHI:	made a oval .
CHI:	go in the sleep in the barn .
CHI:	cars .
MOT:	and press .
MOT:	who's jumping over the moon ?
CHI:	peekaboo .
MOT:	you make a bird .
CHI:	get it .
CHI:	I do train puzzle .
MOT:	no , what am I doing ?
MOT:	I need help .
CHI:	it's the pigs .
CHI:	a heart .
CHI:	yes .
