participant	content
MOT:	what's that ?
MOT:	you do it .
CHI:	yes .
CHI:	<a reg> [/?] a refrigerator .
MOT:	play with the toys .
MOT:	oh , .
CHI:	you wash your hands .
CHI:	I'm say your name .
MOT:	what are you doing roger ?
MOT:	let [/?] let mama see .
MOT:	go to school over here .
CHI:	yes .
CHI:	give me that .
MOT:	ask me .
MOT:	roger , get the little girl in the chair .
CHI:	<i'm make> [/?] get some purple .
CHI:	yes .
MOT:	no , you needta ask .
CHI:	a present !
CHI:	does count xxx .
CHI:	ooh [/?] .
CHI:	shop .
MOT:	let's put the stickers on .
CHI:	make a Helen .
CHI:	get +/.
CHI:	one top .
MOT:	roger , are you watching tv ?
MOT:	okay .
MOT:	you're cleaning up .
MOT:	roger , do you wanna do a puddle [/?] puzzle ?
MOT:	oh , I don't know .
CHI:	oh , shade up .
MOT:	no .
CHI:	I need xxx .
MOT:	put it right there .
MOT:	no ask me .
MOT:	okay .
CHI:	I don't know .
MOT:	you're doing the +/.
CHI:	xxx .
MOT:	time for supper .
MOT:	what do you need ?
CHI:	play in this room .
MOT:	wanna do some counting ?
CHI:	wanna do cards ?
CHI:	line them up .
MOT:	I don't understand you roger .
MOT:	you did ?
MOT:	no , that's wrong .
MOT:	that's right .
MOT:	roger , what's Helen doing ?
CHI:	I wanna play bus please .
CHI:	I need get you .
MOT:	what do you want ?
MOT:	oh , okay .
CHI:	a xxx .
MOT:	no .
MOT:	come here .
CHI:	a car .
MOT:	roger .
CHI:	I have a xxx .
MOT:	we'll see .
MOT:	back to the truck , huh [/?] ?
MOT:	you get the puppy puzzle .
CHI:	behind you .
MOT:	okay .
CHI:	stickers on .
CHI:	xxx .
CHI:	nice doing easy .
MOT:	okay .
MOT:	no .
CHI:	time to do the puzzle .
CHI:	stay the kitchen .
CHI:	I'm reading .
MOT:	roger .
MOT:	oh , you're sitting nice and quiet roger .
CHI:	what's that ?
CHI:	I'm playing with cards .
MOT:	well , you needta stay in this room .
CHI:	see easter .
MOT:	no .
CHI:	I read a book .
MOT:	what's she doing ?
CHI:	girl chair .
MOT:	come here .
CHI:	ow [/?] .
CHI:	you watch mister .
MOT:	what do you want roger ?
MOT:	what do you want ?
MOT:	oh , good counting .
CHI:	stay in this room .
CHI:	he got booboo in the mouth .
MOT:	oh , good .
CHI:	I do sesame .
MOT:	that's right .
MOT:	what's this ?
MOT:	that's right .
CHI:	come here .
MOT:	roger , do you wanna color ?
MOT:	press it .
MOT:	it's a carriage .
MOT:	here you go mama .
CHI:	no huh [/?] .
MOT:	who's this ?
MOT:	shsh [/?] roger .
MOT:	what's this ?
MOT:	look .
MOT:	ask me .
CHI:	wanna do your music ?
CHI:	play this xxx there .
CHI:	wanna do a color book ?
CHI:	a carriage .
MOT:	for [/?] wanna play the cards ?
MOT:	good job .
CHI:	I want need help please .
MOT:	okay , it's all_gone .
MOT:	okay .
MOT:	do it easy .
CHI:	a flower .
MOT:	look_it .
MOT:	what are you doing ?
CHI:	here , the bus is coming .
MOT:	don't +/.
MOT:	my table .
MOT:	oh , you want mama to find the other table huh [/?] ?
CHI:	for your car .
CHI:	carriage .
CHI:	it +/.
CHI:	a [/?] +/.
CHI:	&-um [/?] I play car please .
MOT:	roger get the counting cards for mama .
MOT:	they're playing outside .
CHI:	it's snowing .
MOT:	roger what are you doing ?
MOT:	I think you needta cut it out roger .
MOT:	let me see .
MOT:	here you go .
CHI:	do +/.
MOT:	that's right .
CHI:	yes .
CHI:	a ride a bicycle .
CHI:	a baby ?
MOT:	okay .
MOT:	well , play with the toys then .
MOT:	what's Big_Bird doing ?
MOT:	how many ?
MOT:	say +/.
CHI:	stay down here Kay xxx .
MOT:	say , mama , what's that ?
CHI:	put the girl down the chair .
MOT:	it's time to watch tv .
CHI:	what ?
CHI:	yes .
CHI:	no going the driveway .
MOT:	okay .
MOT:	it's a sticker book .
CHI:	I'm washing my hands .
MOT:	what are you doing ?
MOT:	say I need help .
MOT:	that's wrong .
CHI:	I'm playing the swing outside .
CHI:	a cat .
MOT:	come here and see Helen .
CHI:	one , two , three , four , five , six , seven , eight , nine , ten
MOT:	get a puzzle .
CHI:	ducks .
MOT:	what are you doing ?
CHI:	stay in this room .
CHI:	look_it .
CHI:	I don't know where it is .
CHI:	eat your pizza .
MOT:	you_all done the book roger ?
MOT:	let's turn the page .
MOT:	but , you needta sit here and play with the toys .
MOT:	look at me .
MOT:	what's the matter ?
MOT:	good boy .
CHI:	come over here the car .
MOT:	say , I'm all done .
MOT:	did you see Katy ?
MOT:	what's she doing ?
MOT:	who's Kay ?
MOT:	okay .
MOT:	this is a picture .
CHI:	get +/.
MOT:	right there .
MOT:	oh , it's time for +/.
CHI:	do it quietly .
CHI:	stay in this room .
MOT:	and what's this ?
MOT:	come here .
MOT:	what's this ?
