participant	content
CHI:	bear .
MOT:	look .
MOT:	Stuart .
MOT:	and a crab .
MOT:	see the crab .
MOT:	say car .
MOT:	look .
MOT:	good boy .
CHI:	key .
MOT:	oh , good boy .
CHI:	bike .
MOT:	hi .
MOT:	they're keys .
MOT:	what is it ?
MOT:	what's that ?
MOT:	Stuart , what's this ?
MOT:	block .
MOT:	turtle .
MOT:	and the bears .
MOT:	oh , boy , something that you like is rainbows , huh .
MOT:	what are these ?
MOT:	right here .
CHI:	hair .
MOT:	right here .
MOT:	in the water .
MOT:	oop [/?] .
MOT:	see the squirrel ?
MOT:	let's see .
MOT:	oh , look Stuart .
MOT:	look .
CHI:	more bubble .
MOT:	it's small .
MOT:	Stuart_Vicari .
MOT:	Stuart , do this .
CHI:	want bubble .
MOT:	and you see what these are ?
CHI:	more tickle .
CHI:	more bubble .
CHI:	truck .
CHI:	feet .
CHI:	music .
MOT:	they're bears .
MOT:	look here .
CHI:	tickle .
CHI:	Stuart .
CHI:	cake .
MOT:	good boy .
MOT:	good boy , right .
MOT:	what's he doing ?
MOT:	hi .
MOT:	here .
MOT:	let's see what's in there .
CHI:	more bubble .
MOT:	yeah , where do you go in the car ?
CHI:	nose .
MOT:	Stuart .
MOT:	that's right , good boy .
CHI:	doll .
MOT:	Stuart .
MOT:	Stuart .
CHI:	tickle .
MOT:	yeah .
MOT:	that's what that is .
CHI:	boat .
MOT:	up there .
MOT:	Stuart what's this ?
MOT:	truck .
MOT:	say belly .
MOT:	Stuart look .
MOT:	no where ?
CHI:	rainbow .
CHI:	book .
MOT:	good boy , you're smart .
MOT:	oop [/?] !
MOT:	what's this ?
MOT:	oop [/?] what's in there ?
MOT:	more tickle .
MOT:	Mikey .
MOT:	mama showed you the sky before , right ?
MOT:	you like puppets ?
MOT:	music ?
MOT:	want him to get you ?
MOT:	you like when he gets you ?
MOT:	oop [/?] !
CHI:	more bubble .
MOT:	more .
MOT:	star .
MOT:	good boy , Stuart .
MOT:	you gonna pop it ?
MOT:	oh , look .
MOT:	see the sky ?
MOT:	good boy .
MOT:	here's another puppet .
MOT:	say shoes .
CHI:	xxx .
MOT:	want .
MOT:	rainbow .
CHI:	xxx .
MOT:	oop [/?] Stuart .
CHI:	&e [/?] +/.
MOT:	this , Stuart .
CHI:	arm .
MOT:	that's how you make him work .
MOT:	with ice+cream .
CHI:	milk .
MOT:	see that .
MOT:	see .
CHI:	more tickle .
MOT:	gonna tickle you .
MOT:	what do you think ?
CHI:	baby .
CHI:	ear .
MOT:	picture .
MOT:	and what's this ?
MOT:	the keys +/.
MOT:	oh , look_it Stuart .
MOT:	see the bear ?
MOT:	bath , good boy .
CHI:	belly .
CHI:	I like it .
MOT:	what is it ?
MOT:	good boy .
MOT:	car .
MOT:	that's good .
MOT:	Stuart , touch your arms .
MOT:	oh , good boy Stuart .
MOT:	good boy .
CHI:	do this .
MOT:	what do you want ?
MOT:	Stuart , say bear .
MOT:	Stuart , it's a bear .
MOT:	but look , what's all this ?
MOT:	what's that ?
MOT:	<&-um &-um &-um> [/?] .
MOT:	Stuart , say Mikey .
MOT:	what ?
MOT:	<teddy bears take a vacation> [/?] .
CHI:	uhoh [/?] !
MOT:	nice , good .
MOT:	look here .
MOT:	what do you want ?
MOT:	it's a monkey .
MOT:	look_it .
MOT:	look .
MOT:	do this .
MOT:	sleeping .
MOT:	that's right .
MOT:	oh , pop .
CHI:	bubble .
CHI:	star .
MOT:	see .
CHI:	quiet .
MOT:	huh ?
MOT:	and what's this ?
MOT:	what do you wanna play with , huh [/?] ?
MOT:	look .
CHI:	pillow .
MOT:	see his eyes ?
CHI:	baby .
MOT:	and the two bears .
MOT:	it's a ball .
MOT:	you're all ready for him to get you ?
CHI:	Mikey .
CHI:	do this .
MOT:	good boy .
MOT:	looks like he's at the beach .
MOT:	you're too big .
CHI:	xxx .
MOT:	his eyes are turning .
MOT:	Stuart , say car .
MOT:	what is it ?
CHI:	feet .
CHI:	star .
MOT:	what's this ?
CHI:	Stuart .
MOT:	hair .
MOT:	like the keys ?
MOT:	see the puppet .
CHI:	Mikey .
CHI:	want .
MOT:	look here .
MOT:	Stuart , what's my name .
CHI:	crab .
MOT:	all over me ?
MOT:	that's how you make him work .
CHI:	fine .
MOT:	who's that ?
MOT:	they have rainbows in school .
MOT:	Stuart , what's this ?
MOT:	look .
MOT:	what's that ?
MOT:	and that's a +/.
MOT:	the bear .
CHI:	tick .
CHI:	monkey .
MOT:	oh , wow [/?] Stuart .
MOT:	shooting star ?
MOT:	okay .
MOT:	hair .
CHI:	shoe .
MOT:	he's riding his bike .
MOT:	he walks .
CHI:	block .
MOT:	shoes .
MOT:	Stuart .
MOT:	what's this , Stuart .
MOT:	that's Mikey .
MOT:	he's gonna eat you up .
MOT:	oh , .
MOT:	it's a little bear .
MOT:	Stuart , what's this ?
MOT:	good boy .
MOT:	Stuart , that's good .
CHI:	mamma .
MOT:	oh , look at that .
CHI:	tickle .
MOT:	this is a puppet .
MOT:	see that .
MOT:	can you say frog ?
MOT:	yeah .
CHI:	bear .
MOT:	belly .
MOT:	good boy .
CHI:	car .
MOT:	go byebye car .
MOT:	on ?
MOT:	with the water .
MOT:	Stuart , look .
MOT:	let's see what's hidden in here .
MOT:	and the sky .
MOT:	you're being good now Stuart .
MOT:	you're a good boy .
CHI:	hair .
CHI:	doll .
MOT:	mhm [/?] ?
CHI:	shoe .
MOT:	Stuart , what's this ?
CHI:	<no , no , no , no> [/?] no !
MOT:	look at that .
MOT:	oop [/?] !
MOT:	can you say planet ?
CHI:	key .
MOT:	good boy .
CHI:	do this .
CHI:	music on xxx .
