participant	content
CHI:	Stuart_Vicari .
MOT:	and I love Stuart .
MOT:	that's good asking .
MOT:	good boy .
MOT:	you remember ?
MOT:	here .
CHI:	what ?
MOT:	and listening .
MOT:	you gotta sit down .
MOT:	good boy .
MOT:	good boy .
CHI:	teeth .
MOT:	Stuart .
MOT:	that's wrong .
MOT:	it's too fat .
MOT:	one [/?] two feet .
MOT:	so I can look .
CHI:	want chip .
MOT:	you want chip ?
MOT:	what's that ?
CHI:	grape .
MOT:	Stuart_Vicari .
CHI:	boat .
MOT:	what do you want ?
CHI:	five [/?] .
MOT:	good boy .
CHI:	nose .
MOT:	what's that ?
CHI:	water .
MOT:	he likes you .
CHI:	more .
MOT:	what do you want ?
CHI:	doggie .
MOT:	hat .
MOT:	good boy Stuart .
MOT:	oh , .
MOT:	yeah .
CHI:	kitty .
CHI:	like it .
MOT:	what's that ?
MOT:	you like horsies huh [/?] ?
MOT:	what ?
MOT:	what's this ?
CHI:	want [/?] want chip .
MOT:	you like chips huh [/?] ?
CHI:	want chip .
MOT:	right ?
MOT:	good .
CHI:	<four , five> [/?] .
MOT:	good asking .
MOT:	you say want chip mama .
MOT:	papa gave that to you .
MOT:	what do you like ?
MOT:	give buddy a kiss .
CHI:	apple .
CHI:	present .
MOT:	good boy .
MOT:	what's this ?
CHI:	toy .
MOT:	see the baby's gonna play .
MOT:	wait .
MOT:	Stuart's smart .
MOT:	four .
MOT:	yeah .
MOT:	you like it ?
CHI:	<one , two> [/?] .
MOT:	good job .
CHI:	want water .
CHI:	baby .
MOT:	right .
MOT:	that's his hair .
MOT:	that's a good boy .
MOT:	mhm [/?] .
MOT:	what's that ?
MOT:	now you're quiet .
MOT:	kitty .
CHI:	what this ?
MOT:	good boy .
CHI:	xxx .
CHI:	pattycake .
MOT:	what's this ?
MOT:	you like that huh [/?] ?
CHI:	banana .
CHI:	xxx .
MOT:	mama's singing to you .
CHI:	xxx .
MOT:	push .
CHI:	kitty .
MOT:	how about <a@l b@l c@l> [/?] ?
MOT:	remember ?
MOT:	you built a tower Stuart .
MOT:	and we'll put the other baby in the chair .
CHI:	xxx .
MOT:	that's right .
MOT:	and the +/.
MOT:	look at this .
CHI:	<one , two> [/?] .
MOT:	want a present ?
MOT:	you're listening to mama sing .
MOT:	now you're a good boy .
CHI:	good boy .
CHI:	down .
CHI:	Stuart .
MOT:	that's making a tower .
MOT:	and what's this ?
CHI:	ball .
MOT:	up and down .
CHI:	want chip .
MOT:	yeah .
MOT:	hold the tower and put the block on .
MOT:	what's your name ?
MOT:	what's this ?
CHI:	want chip .
MOT:	pants .
MOT:	what do you want ?
MOT:	that's good sitting .
CHI:	crayon .
MOT:	they go +/.
MOT:	I like it .
MOT:	huh [/?] ?
CHI:	<one , two> [/?] .
MOT:	I love you .
MOT:	I love you .
MOT:	you needta look at me .
CHI:	what this ?
CHI:	nose .
MOT:	good job Stuart .
MOT:	that's right .
MOT:	Stuart .
CHI:	shovel .
CHI:	tickle .
MOT:	look at me .
MOT:	<tickle , tickle> [/?] tickle .
MOT:	piggys .
MOT:	yeah I know .
MOT:	you're sitting nice and quiet .
MOT:	the baby's on the horsie .
MOT:	missed one Stuart .
MOT:	what's this ?
CHI:	shirt .
MOT:	<sit right down> [/?] .
CHI:	<a@l b@l c@l> [/?] .
MOT:	what's this ?
CHI:	Stuart .
MOT:	you have two feet Stuart .
CHI:	toy .
CHI:	count .
MOT:	they're salty .
MOT:	no .
MOT:	what's that ?
MOT:	okay .
MOT:	what's that ?
MOT:	yeah .
MOT:	good boy .
MOT:	yeah .
MOT:	what Stuart ?
MOT:	good boy .
MOT:	you're quiet .
CHI:	arm .
MOT:	I'm gonna tickle you .
MOT:	say hello papa .
MOT:	who gave that to you ?
MOT:	boy Stuart .
MOT:	you needta hold it with this hand .
MOT:	open it up .
CHI:	sit down .
MOT:	what's this ?
MOT:	say buddy .
MOT:	boat .
MOT:	yeah .
MOT:	what's this ?
MOT:	yeah .
MOT:	you like that huh [/?] ?
CHI:	duck .
MOT:	get you a tissue .
MOT:	yeah .
CHI:	down .
MOT:	good .
MOT:	&mm [/?] .
MOT:	good .
CHI:	xxx .
CHI:	<one , two> [/?] .
MOT:	that's a horsie over here .
MOT:	hi .
MOT:	now that's a good boy .
MOT:	and I like it when you're quiet Stuart .
MOT:	good boy .
MOT:	train .
MOT:	good job .
CHI:	three [/?] .
MOT:	that's a good boy .
MOT:	yeah .
CHI:	chip .
MOT:	good boy .
MOT:	that's Stuart's hair .
CHI:	Stuart , a duck .
CHI:	<bus go> [/?] .
CHI:	hold it .
MOT:	do you like books ?
MOT:	train .
MOT:	Stuart .
MOT:	good job .
CHI:	want chip .
MOT:	oh , .
CHI:	hair .
MOT:	good boy Stuart .
MOT:	what's that Stuart ?
MOT:	hold it .
MOT:	that's all fruit .
MOT:	this is a duck .
CHI:	mama .
MOT:	Stuart .
CHI:	xxx .
MOT:	Stuart , what's that ?
CHI:	hair .
MOT:	that's a good boy .
MOT:	plane .
MOT:	let me see that belly .
MOT:	Stuart_Vicari's your name .
MOT:	say buddy .
MOT:	piggy [/?] piggy .
MOT:	wipe your nose .
CHI:	hey [/?] .
MOT:	no .
MOT:	I know .
MOT:	yeah .
CHI:	xxx .
MOT:	yeah .
MOT:	what do you want ?
MOT:	Stuart .
CHI:	I like chip .
CHI:	buddy .
MOT:	yeah .
MOT:	good boy Stuart .
MOT:	you like it ?
MOT:	should make a tower .
MOT:	you can have a chip .
MOT:	that's right .
MOT:	wer [/?] .
MOT:	you're a good boy .
CHI:	want water .
CHI:	Rita .
MOT:	that's a boat .
MOT:	look .
CHI:	want chip .
MOT:	you're quiet now Stuart .
MOT:	and you're a good boy .
CHI:	<up and down> [/?] .
MOT:	<tickle , tickle> [/?] .
MOT:	you want water ?
CHI:	hello papa .
MOT:	what's that ?
CHI:	want chip .
CHI:	hey [/?] .
MOT:	good boy .
CHI:	want chip mama .
MOT:	yey [/?] Stuart .
MOT:	Stuart .
MOT:	huh [/?] ?
CHI:	want chip .
MOT:	you're sitting nice with me Stuart .
CHI:	hold it .
MOT:	these are the animals .
MOT:	here you go .
CHI:	hey [/?] xxx !
MOT:	truck .
MOT:	right ?
MOT:	this baby's going in bed .
MOT:	they're different .
MOT:	let me hear you count .
MOT:	that's good .
CHI:	on .
MOT:	you want more chip ?
MOT:	it's fat .
