participant	content
MOT:	Stuart .
MOT:	you being a good boy Stuart ?
MOT:	oh , .
MOT:	good job .
MOT:	good job .
CHI:	baby .
MOT:	yeah .
MOT:	the tower .
MOT:	you like horsies huh [/?] ?
MOT:	it's a little baby huh [/?] ?
MOT:	mhm [/?] .
MOT:	say duck .
MOT:	you're sitting nice .
MOT:	that's good asking .
MOT:	who's that ?
MOT:	good job .
MOT:	<they go up and down> [/?] .
MOT:	now you're quiet .
MOT:	wanna sing some more ?
MOT:	what do you think ?
MOT:	huh [/?] ?
MOT:	good boy .
CHI:	horsie .
MOT:	look .
CHI:	chip .
MOT:	what ?
MOT:	that's good asking for water .
CHI:	want water .
CHI:	sock .
MOT:	oh , Stuart .
MOT:	good boy .
CHI:	want chip .
MOT:	Stuart , what's this ?
MOT:	now you're a good boy .
MOT:	yeah .
MOT:	what's this ?
CHI:	horsie .
MOT:	you can have water .
MOT:	say hello papa .
MOT:	can you play the piano ?
MOT:	good boy Stuart .
CHI:	hey [/?] .
CHI:	no .
MOT:	what's that ?
CHI:	horsie .
CHI:	xxx .
MOT:	give him a kiss .
MOT:	and what are these ?
MOT:	oh , .
MOT:	hold the tower and put the block on .
MOT:	should make a tower .
MOT:	that's good putting the blocks on there , to make a tower .
MOT:	how about doing pattycake with me ?
CHI:	want water .
MOT:	what's this ?
MOT:	that's a good boy .
MOT:	the baby's in there .
CHI:	horsie .
CHI:	bear .
MOT:	huh [/?] ?
MOT:	that's wrong .
MOT:	you're doing good .
CHI:	xxx that .
MOT:	&mm [/?] .
MOT:	say horsie .
CHI:	mama .
MOT:	say sit right down .
MOT:	and pear .
MOT:	what do you want ?
MOT:	and what's this ?
MOT:	do you like books ?
CHI:	train .
MOT:	good boy Stuart .
CHI:	crayon .
MOT:	you're quiet .
MOT:	you're a good boy .
MOT:	mitten .
MOT:	Stuart .
MOT:	good .
CHI:	plane .
CHI:	xxx .
MOT:	what do you want ?
MOT:	what's that Stuart ?
MOT:	let me hear you sing .
MOT:	yeah .
CHI:	want chip .
MOT:	I love you .
MOT:	what Stuart ?
MOT:	you can have a chip .
CHI:	want chip .
CHI:	chip .
MOT:	<one , two> [/?] .
CHI:	shovel .
MOT:	you gotta sit down .
CHI:	shovel .
CHI:	nose .
MOT:	let's put some more blocks on .
CHI:	want chip .
MOT:	mama .
MOT:	what's this ?
MOT:	what's that ?
CHI:	chip .
MOT:	that's a good boy .
MOT:	let's see .
CHI:	sit down .
CHI:	xxx .
CHI:	xxx .
CHI:	shirt .
MOT:	d@l [/?] .
MOT:	who's that ?
CHI:	kitty .
MOT:	good boy .
MOT:	okay .
CHI:	I like chips .
CHI:	Rita .
MOT:	what do you got this time ?
MOT:	that's all fruit .
CHI:	want water .
MOT:	let's open .
MOT:	it's too fat .
CHI:	chip .
CHI:	hey [/?] xxx !
CHI:	I like .
MOT:	<tickle , tickle> [/?] tickle .
MOT:	<that's your> [/?] that's your name .
MOT:	what do you like ?
CHI:	pants .
MOT:	and listening .
CHI:	over here .
MOT:	oh , this is nice Stuart .
MOT:	so I can look .
MOT:	what's this ?
MOT:	put the baby in .
MOT:	that's a boat .
MOT:	good boy .
CHI:	Stuart_Vicari .
MOT:	good boy Stuart .
MOT:	no .
MOT:	see the baby's gonna play .
MOT:	train .
MOT:	you're listening to mama sing .
CHI:	thank you .
MOT:	thank you .
MOT:	good boy .
MOT:	good job Stuart .
CHI:	balloon .
CHI:	I like it .
CHI:	present .
MOT:	let me hear you sing .
CHI:	sit right down .
MOT:	yeah I know .
MOT:	yeah .
CHI:	water .
MOT:	tower .
MOT:	you like it ?
MOT:	no .
MOT:	what's that ?
MOT:	you like that huh [/?] ?
MOT:	<sit right down> [/?] .
MOT:	what do you want ?
CHI:	<a@l b@l c@l> [/?] .
MOT:	what's this ?
MOT:	good job .
MOT:	what is it ?
MOT:	oh , .
MOT:	crayon .
MOT:	feet .
CHI:	Stuart_Vicari .
MOT:	up and down .
MOT:	that's making a tower .
MOT:	yeah .
CHI:	want chip .
MOT:	oh , .
MOT:	and the crib and horsie .
MOT:	you needta hold it with this hand .
MOT:	what is that ?
MOT:	open .
MOT:	good try Stuart .
MOT:	this baby's going in bed .
MOT:	what's this ?
CHI:	<one , two> [/?] .
MOT:	good boy Stuart .
MOT:	Stuart .
MOT:	they're good .
CHI:	hair .
CHI:	xxx .
MOT:	one .
CHI:	want chip .
CHI:	phone .
CHI:	I like it .
MOT:	say hi buddy .
MOT:	blocks .
MOT:	yeah .
MOT:	that live on the farm .
CHI:	want chip .
MOT:	that's good counting .
MOT:	see ?
MOT:	that's a good boy .
CHI:	I'm good .
MOT:	good boy Stuart .
CHI:	want chip .
CHI:	on .
CHI:	hair .
MOT:	good boy .
MOT:	good boy Stuart .
CHI:	xxx .
MOT:	right .
MOT:	banana .
CHI:	pear .
MOT:	good asking .
MOT:	bless you .
MOT:	that's right .
MOT:	yeah .
MOT:	I know .
CHI:	Stuart , a duck .
MOT:	right ?
CHI:	xxx .
MOT:	Stuart's has [/?] shoes .
MOT:	good boy .
MOT:	what about this ?
MOT:	good boy .
MOT:	how about <a@l b@l c@l> [/?] ?
MOT:	<a@l b@l c@l d@l> [/?] .
CHI:	on .
CHI:	nose .
CHI:	want chip .
MOT:	good boy Stuart .
CHI:	xxx .
MOT:	what's that ?
MOT:	good boy Stuart .
MOT:	good boy .
MOT:	look at me .
MOT:	I'm gonna tickle you .
MOT:	the baby's on the horsie .
MOT:	Stuart .
CHI:	Stuart_Vicari .
MOT:	they go +/.
MOT:	that's his hair .
CHI:	want water .
MOT:	good boy .
CHI:	want [/?] want chip .
CHI:	shoe .
MOT:	yeah .
MOT:	this is a bear .
CHI:	teeth .
MOT:	that's good asking Stuart .
CHI:	tickle .
MOT:	you're a smart boy Stuart .
CHI:	tower .
MOT:	god bless you .
MOT:	they're different .
MOT:	good .
MOT:	who gave that to you ?
MOT:	and your legs .
MOT:	yeah .
MOT:	that's right .
MOT:	and grapes .
MOT:	train .
MOT:	those are doggys .
MOT:	push it on .
CHI:	more .
MOT:	and I like it when you're quiet Stuart .
MOT:	good boy .
CHI:	feet .
CHI:	want chip .
MOT:	what's this ?
CHI:	doggie .
MOT:	good boy .
CHI:	duck .
MOT:	that's good .
MOT:	he likes you .
MOT:	oop [/?] .
CHI:	what this ?
MOT:	hat .
MOT:	what's this here ?
CHI:	good boy .
CHI:	xxx .
MOT:	that's your name .
MOT:	your hair .
MOT:	he likes you .
MOT:	you built a tower Stuart .
MOT:	and we'll put the other baby in the chair .
CHI:	xxx .
MOT:	yeah .
MOT:	and a train .
MOT:	yeah .
MOT:	remember ?
CHI:	block .
CHI:	mouth .
CHI:	want water .
MOT:	yeah .
MOT:	those are kittys .
MOT:	tell me what's this ?
MOT:	and what are these ?
CHI:	boat .
MOT:	that's nice putting the block on there Stuart .
MOT:	see the play+pen ?
MOT:	good boy .
MOT:	what's that ?
MOT:	tick [/?] +/.
MOT:	look Stuart .
MOT:	here you go .
MOT:	good .
MOT:	I like it .
CHI:	what this ?
MOT:	good job .
MOT:	what do you want ?
MOT:	Stuart .
CHI:	hello papa .
CHI:	boat .
MOT:	you needta have your hands down .
CHI:	kitty .
MOT:	tissue .
MOT:	now that's a good boy .
MOT:	you want chip ?
CHI:	Stuart_Vicari .
MOT:	say buddy .
MOT:	yeah .
MOT:	good job .
MOT:	look .
CHI:	buddy .
MOT:	<up and down> [/?] .
MOT:	you want more chip ?
MOT:	mama .
CHI:	shirt .
MOT:	what's this ?
MOT:	good boy Stuart .
MOT:	I love you .
CHI:	what this ?
CHI:	what this ?
MOT:	huh [/?] Stuart .
MOT:	you like chips huh [/?] ?
MOT:	say buddy .
MOT:	what do you like ?
MOT:	and I love Stuart .
CHI:	want chip .
MOT:	that's good sitting .
MOT:	wait .
CHI:	tissue .
CHI:	baby .
CHI:	want +/.
CHI:	hold it .
MOT:	I like when you're quiet .
CHI:	good .
CHI:	three [/?] .
CHI:	&mm [/?] .
CHI:	tow [/?] .
CHI:	five [/?] .
CHI:	want chip .
MOT:	where is that book that's the +/.
MOT:	hi .
MOT:	Stuart .
MOT:	Stuart .
MOT:	that's a horsie over here .
MOT:	good boy .
CHI:	xxx .
MOT:	three .
MOT:	you like that ?
CHI:	toy .
MOT:	that's good asking .
CHI:	pants .
MOT:	oop [/?] .
MOT:	good job .
MOT:	plane .
MOT:	yeah .
MOT:	over here .
MOT:	nice .
MOT:	here .
MOT:	what is it ?
CHI:	hi buddy .
MOT:	duck .
CHI:	kitty .
MOT:	what's this ?
MOT:	and you're a good boy .
CHI:	chip .
MOT:	I love you .
MOT:	piggys .
MOT:	good .
MOT:	and a truck .
MOT:	hold it .
CHI:	want chip .
MOT:	want a present ?
CHI:	want [/?] want chip .
MOT:	what do the people on the bus do ?
MOT:	plane .
CHI:	horsie .
CHI:	hey [/?] .
CHI:	apple .
CHI:	I like you .
CHI:	car .
CHI:	bear .
CHI:	<four , five> [/?] .
MOT:	and what's this ?
MOT:	that's right Stuart .
MOT:	and what's this ?
CHI:	shirt .
MOT:	you do .
CHI:	chip good .
CHI:	want chip .
MOT:	see my tower .
MOT:	good boy .
MOT:	piggys .
CHI:	toy .
MOT:	say thank you .
MOT:	what's this ?
MOT:	see the baby ?
CHI:	horsie .
MOT:	you like it ?
CHI:	what this ?
MOT:	yeah .
MOT:	that's really good Stuart .
CHI:	mitten .
CHI:	I like it .
MOT:	put your hands down .
MOT:	grape .
MOT:	that's mitten .
MOT:	and what's this ?
CHI:	count .
CHI:	<one , two> [/?] .
MOT:	apple .
MOT:	what's that ?
MOT:	I love you .
MOT:	give buddy a kiss .
MOT:	and there's your hair .
MOT:	here you go .
CHI:	hold it .
MOT:	what's this ?
CHI:	I like chip .
MOT:	what do you like ?
MOT:	what's this ?
CHI:	Stuart .
CHI:	what ?
MOT:	look .
MOT:	yeah .
MOT:	sit right down .
MOT:	good boy .
CHI:	what this ?
MOT:	look .
CHI:	Rita .
CHI:	hey !
MOT:	truck .
CHI:	want water .
MOT:	wer [/?] .
CHI:	want chip .
MOT:	good boy .
MOT:	you needta look at me .
MOT:	<one , two> [/?] .
MOT:	<tickle , tickle> [/?] tickle .
MOT:	these are the animals .
CHI:	<a@l b@l c@l> [/?] .
MOT:	huh [/?] Stuart .
MOT:	you have two feet Stuart .
MOT:	see the little babys ?
MOT:	good job Stuart .
MOT:	Stuart , what's that ?
CHI:	tow [/?] .
MOT:	that's good .
CHI:	train .
CHI:	want chip .
MOT:	that's Stuart's hair .
MOT:	oh , that was good .
MOT:	okay .
MOT:	huh [/?] ?
CHI:	xxx .
MOT:	I love you .
CHI:	want chip .
CHI:	arm .
MOT:	that's right Stuart .
CHI:	I love you .
MOT:	yey [/?] Stuart .
MOT:	good job Stuart .
MOT:	you know what these are .
CHI:	xxx .
CHI:	doggie .
MOT:	what's his name ?
CHI:	want chip .
CHI:	<one , two> [/?] .
MOT:	open it up .
MOT:	good job Stuart .
MOT:	what do you want ?
MOT:	push .
CHI:	want chip .
MOT:	good boy Stuart .
MOT:	you're a good boy .
MOT:	okay .
MOT:	missed one Stuart .
MOT:	can you sing “sit right down” ?
MOT:	truck .
MOT:	tower .
MOT:	socks .
MOT:	you needta hold it .
MOT:	piggy [/?] piggy .
MOT:	horsie .
MOT:	push .
CHI:	like you .
MOT:	good boy .
MOT:	tickles .
MOT:	you say want chip mama .
CHI:	boat .
CHI:	xxx .
MOT:	good job .
MOT:	you get to have a chip .
MOT:	what's this ?
MOT:	do you like tickles huh [/?] ?
MOT:	let's see .
