participant	content
MOT:	right ?
MOT:	what do you say ?
CHI:	xxx .
CHI:	water .
MOT:	look at me .
MOT:	it's a big dog .
MOT:	call papa ?
MOT:	no , look .
MOT:	who's this ?
MOT:	and Pam .
MOT:	you wanna sing Row_Row_Your_Boat .
MOT:	circle .
MOT:	here .
MOT:	hey Stuart .
MOT:	you_all done ?
MOT:	Stuart .
MOT:	Stuart look .
MOT:	look at me .
CHI:	ready , get .
MOT:	look .
MOT:	and you color .
MOT:	call daddy .
MOT:	you needta look at me .
MOT:	see my eyes ?
MOT:	feet .
CHI:	xxx .
MOT:	that's nice writing .
MOT:	Stuart , can you tell me what the duck says ?
CHI:	rock_a_(bye)_baby .
MOT:	I think I'll put that away .
MOT:	and do you know what this is [% uc] ?
MOT:	good boy .
MOT:	make them go over ?
MOT:	<and the mommy's on the bus say , sh@si sh@si sh@si > [/?] .
MOT:	turn it over and we'll erase the other side .
MOT:	what's that ?
MOT:	dance and dance .
MOT:	you sing for me .
CHI:	Stuart_Vicari .
MOT:	what ?
MOT:	doll ?
MOT:	ready ?
MOT:	this is buddy .
MOT:	legs .
MOT:	Stuart ?
MOT:	put your hands down .
MOT:	nice .
MOT:	is [/?] that what was [/?] the matter with you ?
MOT:	wanna squeeze ?
MOT:	you do .
MOT:	what do I have for you ?
MOT:	where are [/?] you going ?
CHI:	block .
MOT:	see all the blocks .
MOT:	you say .
MOT:	oh , good boy .
MOT:	you wanna write ?
MOT:	you wanna call daddy ?
CHI:	squeeze .
MOT:	erase it .
MOT:	hey Stuart , can you count for me ?
MOT:	look .
MOT:	row boat .
MOT:	what are [/?] these ?
MOT:	what's your name ?
MOT:	you like rainbows .
CHI:	socks .
MOT:	you a good boy ?
MOT:	how does it go ?
MOT:	<rock a bye baby on the tree top> [/?] ?
CHI:	<one , two , three , three> [/?] .
MOT:	you sing for me pattycake .
MOT:	say book .
MOT:	see his eyes ?
MOT:	squeeze .
MOT:	you can make something else .
MOT:	you wanna erase ?
MOT:	huh ?
CHI:	balloon .
CHI:	like it .
