participant	content
MOT:	mhm [/?] .
MOT:	okay .
MOT:	how does the owl go ?
CHI:	full [/?] .
CHI:	not eeta [/?] .
MOT:	what's this ?
CHI:	xxx Susan .
CHI:	here mama here .
CHI:	yeah .
MOT:	drink tea , huh [/?] ?
CHI:	put in there .
MOT:	what's that one ?
MOT:	wait a minute .
MOT:	okay .
CHI:	book .
MOT:	what are those ?
MOT:	if you put it in this way it goes in better , okay ?
MOT:	the donut ?
MOT:	no , what comes after four ?
CHI:	cookie .
CHI:	that .
MOT:	that's just Susan .
MOT:	let me hear you say cat .
CHI:	sleep .
MOT:	you're being silly , huh [/?] ?
MOT:	no , the red book first .
CHI:	ohoh [/?] .
MOT:	how does the siren go ?
MOT:	wanna sit on my lap or you wanna sit next to me ?
MOT:	<old mother hubbard went to the cupboard to get her poor dog a>
CHI:	xxx .
CHI:	yeah .
MOT:	Oscar .
MOT:	working , yes .
CHI:	what that ?
CHI:	star .
CHI:	cheese .
MOT:	can you tell ?
CHI:	xxx .
MOT:	good donut .
CHI:	oh , .
MOT:	oop [/?] .
CHI:	xxx .
CHI:	oh , xxx xxx .
MOT:	would you like to look at a book ?
MOT:	yeah ?
CHI:	music .
MOT:	okay .
MOT:	how does the lamb go ?
MOT:	not eeta [/?] .
MOT:	<couldn't put Humpty Dumpty together> [/?] +/.
MOT:	catch it now .
CHI:	oh , .
CHI:	girl , boy .
MOT:	do you want me to say it or you wanna help me ?
MOT:	good talking .
CHI:	cookie .
MOT:	nursery rhymes ?
MOT:	that's okay .
CHI:	frog .
MOT:	yeah .
MOT:	what's that ?
CHI:	ohoh [/?] .
CHI:	oh , .
MOT:	&mm [/?] that's what the cat says .
MOT:	what's he got in his mouth ?
MOT:	which one's the blue one ?
MOT:	<he called for his> [/?] +/.
MOT:	you're funny .
CHI:	xxx .
MOT:	cracker , yeah .
CHI:	I did it .
CHI:	xxx .
MOT:	those are the king's men , yeah .
MOT:	you'll know these .
MOT:	Anne .
MOT:	okay .
MOT:	who is that ?
CHI:	xxx .
CHI:	ah [/?] .
CHI:	yup .
CHI:	cracker .
MOT:	there !
MOT:	the egg fell off ?
CHI:	xxx .
MOT:	I don't remember .
MOT:	okay .
MOT:	oh , up the ladder ?
MOT:	what's Cookie_Monster like to eat ?
CHI:	xxx .
MOT:	okay .
CHI:	whey [/?] .
CHI:	plum .
CHI:	xxx mama .
CHI:	okay .
MOT:	you know what ?
MOT:	yeah .
CHI:	what that ?
MOT:	okay .
CHI:	hi .
CHI:	xxx .
MOT:	what should we do to the window ?
MOT:	no .
CHI:	mama [/?] mama .
CHI:	yeah .
CHI:	xxx .
MOT:	how about spoon ?
MOT:	hm: [/?] ?
CHI:	xxx .
MOT:	street [/?] .
CHI:	<black sheep> [/?] .
CHI:	xxx .
MOT:	wanna open some windows ?
MOT:	thank you .
MOT:	oh , you like to throw it huh [/?] ?
CHI:	drum .
CHI:	xxx .
MOT:	hmmm [/?] ?
MOT:	can you find another bed ?
MOT:	you know what these are ?
MOT:	can you roll it ?
CHI:	xxx .
MOT:	okay .
MOT:	let me see you say cat .
MOT:	these are what ?
MOT:	good .
CHI:	what ?
CHI:	xxx .
MOT:	that's a new trick for you , isn't it ?
CHI:	xxx .
CHI:	xxx .
MOT:	how does the bee go ?
CHI:	xxx .
MOT:	in the chair .
MOT:	apple .
CHI:	xxx .
MOT:	mhm [/?] .
CHI:	thumb .
CHI:	yeah .
MOT:	not sure .
MOT:	okay .
CHI:	xxx .
CHI:	xxx .
CHI:	xxx .
MOT:	sun .
MOT:	how does the wind go ?
CHI:	yeah .
CHI:	nursery rhyme .
CHI:	xxx .
MOT:	fish .
MOT:	bed .
MOT:	eat the cheese with a spoon ?
CHI:	my mouth .
CHI:	here ?
MOT:	okay .
MOT:	does that taste good ?
MOT:	see , it's got the little kids on it .
MOT:	whoa [/?] !
MOT:	say thank you ?
MOT:	oh , okay .
CHI:	purple .
MOT:	who is that ?
CHI:	xxx .
MOT:	bzzz [/?] .
CHI:	xxx .
MOT:	what was that noise you heard ?
MOT:	why don't you find the yellow ball out there ?
CHI:	eat a cookie .
MOT:	okay .
CHI:	xxx .
CHI:	okay .
MOT:	<little jack horner sat in a corner eating his christmas> [/?] +/.
MOT:	how does the car go ?
CHI:	xxx .
MOT:	I think we should open some windows .
CHI:	&mm [/?] .
MOT:	you silly goose .
MOT:	you're a wild man !
MOT:	you didn't know how to do that before .
MOT:	do again ?
MOT:	what's that ?
MOT:	you choose .
CHI:	here .
MOT:	how does the clock go ?
MOT:	can you show me ?
MOT:	three .
MOT:	okay , let's just read it ?
MOT:	<Little_Bo_Peep has lost her> [/?] +/.
CHI:	cat .
MOT:	okay ?
CHI:	spoon [/?] .
MOT:	are you gonna have the cracker ?
CHI:	I dunno [: don't know] .
MOT:	you cold now ?
CHI:	xxx .
MOT:	no .
MOT:	did you hurt your thumb ?
CHI:	xxx .
MOT:	I brought some books out .
MOT:	frog .
MOT:	I'll stir mine up .
CHI:	xxx xxx drink .
CHI:	fish .
MOT:	okay .
CHI:	here ?
MOT:	I know what that is though .
MOT:	in your mouth ?
MOT:	who brought eggs yesterday to us ?
CHI:	thumb [/?] .
MOT:	can you get the <get the> [/?] red one ?
MOT:	those are the soldiers .
MOT:	what's that ?
CHI:	xxx .
