participant	content
FAT:	David .
FAT:	little baby David .
CHI:	little baby David .
CHI:	Pammy .
FAT:	Pammy .
FAT:	and Debby .
CHI:	and Debby .
FAT:	and Karen .
CHI:	and Karen .
FAT:	you didn't meet Karen .
CHI:	no .
FAT:	no .
CHI:	who's Karen .
FAT:	who was Debbie .
CHI:	Debbie_Cox .
FAT:	yeah , who was she ?
FAT:	where does she live ?
CHI:	old pine road .
FAT:	she lives on old pine road .
CHI:	yeah .
FAT:	was she your friend this summer ?
CHI:	yeah .
FAT:	what did you do ?
CHI:	I play with her .
FAT:	did she &-um [/?] +/.
FAT:	what kind of games did you play ?
CHI:	we play doctor .
FAT:	yeah .
CHI:	and we play house .
FAT:	yeah .
CHI:	and we play xxx +/.
CHI:	little bears .
FAT:	little bears ?
FAT:	yeah .
FAT:	we went to the +/.
CHI:	the four little bears .
FAT:	the four little bears ?
CHI:	yeah .
FAT:	yeah .
FAT:	that was a game we bought at the mall ?
FAT:	that's the microphone .
FAT:	that's so_that they can hear what you're saying , right ?
CHI:	yeah .
FAT:	yeah .
FAT:	you played the four little bears .
FAT:	we went to the mall and we bought +/.
CHI:	books .
FAT:	books at the book+store for you and Debbie .
CHI:	yeah .
FAT:	yeah .
CHI:	buy book for me .
FAT:	yeah , bought books for you .
CHI:	soot [/?] shoot the rabbits .
FAT:	shoot the rabbits ?
CHI:	yeah .
FAT:	that was the name of the book ?
CHI:	yeah .
FAT:	oh , .
FAT:	and we came home and we played a game .
FAT:	cardboard game .
FAT:	the four little bears , and we put it together ?
CHI:	yeah .
FAT:	and then we played .
FAT:	what did you do ?
FAT:	did you go up to your tent too ?
CHI:	a tent .
FAT:	mhm .
CHI:	Bobby and Joe made it .
FAT:	Bobby and Joe +/.
CHI:	Joe Raisenkop .
FAT:	Joe Raisenkop .
FAT:	I don't think they know all these people .
FAT:	they don't know Joe Raisenkop .
CHI:	xxx Joe Raisenkop .
FAT:	he made the tent .
FAT:	yeah .
CHI:	yeah .
FAT:	yeah .
CHI:	with Bobby .
FAT:	yeah .
FAT:	and then what else did we do ?
FAT:	did we go +/.
FAT:	we did a_lot of sw [/?] +/.
FAT:	what else did we do with Debbie ?
FAT:	we went to the +/.
CHI:	club+house .
FAT:	and what did you do there ?
CHI:	played bingo .
FAT:	you played bingo ?
CHI:	yeah .
FAT:	did you win anything ?
CHI:	yeah .
FAT:	what ?
CHI:	I traded sunglasses to bubbles .
FAT:	you traded sunglasses for bubbles ?
CHI:	yeah .
FAT:	you did ?
CHI:	yeah .
FAT:	wow [/?] that was fun .
FAT:	did you tell them about how you swim alone all by yourself in +/.
CHI:	he pool yeah .
CHI:	I swim by myself in the pool .
FAT:	you can swim frontwards and backwards , right ?
CHI:	yeah .
FAT:	on your back ?
FAT:	is that how you did it ?
CHI:	yeah .
FAT:	yeah .
FAT:	and your friend Debbie was diving ?
CHI:	and [/?] and what else ?
CHI:	then my company come .
FAT:	who came ?
CHI:	my company .
CHI:	then my +/.
FAT:	your company came ?
FAT:	yes .
CHI:	the Kingstons .
FAT:	the Kingstons ?
CHI:	yeah .
FAT:	yeah .
CHI:	and Brian .
FAT:	mhm .
CHI:	and little Jamie .
FAT:	and Jamie .
FAT:	did you go to the big teenage dance with little Jamie ?
CHI:	yeah .
CHI:	I dance with him .
FAT:	you danced with him ?
CHI:	and [/?] and +/.
FAT:	talk louder .
FAT:	you got a secret ?
FAT:	what kind of dancing did you and Jamie do ?
CHI:	dance .
CHI:	is Timmy break+dance .
FAT:	he did ?
CHI:	yeah .
FAT:	is he a good break+dancer ?
CHI:	yeah .
FAT:	yeah .
FAT:	did everyone go swimming out at love island afterwards ?
CHI:	and sue Vanderock and Baby_Blake .
FAT:	sue Vanderock and Baby_Blake went swimming out there ?
CHI:	yeah .
FAT:	what happened ?
CHI:	okay .
CHI:	here come Susan first .
FAT:	yeah .
CHI:	come down .
CHI:	here come Baby_Blake with [/?] my life jacket on .
FAT:	yeah , you had your life jacket on .
CHI:	and he dived in , under water .
FAT:	and Susan didn't come up ?
FAT:	this is after they swang out on the rope swing ?
FAT:	and they jumped in .
FAT:	and Susan stayed under , and the baby came up , right ?
FAT:	with the life jacket on ?
CHI:	yeah .
FAT:	is that how it went ?
CHI:	yeah .
CHI:	Susan popped up .
FAT:	popped up ?
FAT:	yeah .
CHI:	then [/?] then Baby_Blake popped up .
FAT:	oh , .
CHI:	and left a green diarrhea .
FAT:	oh , he had green diarrhea ?
FAT:	after that ?
FAT:	oh , that was terrible .
CHI:	yeah .
FAT:	but she went home and took him to the doctor , right ?
CHI:	<and Cara> [/?] and Cara .
FAT:	Cara , yeah .
CHI:	<he was> [/?] she was limping .
FAT:	she was , yeah .
CHI:	yeah .
CHI:	<on the> [/?] on she's arm .
FAT:	on her arm , yeah .
FAT:	she was limping on her arm .
FAT:	and her whole left side was gone , right ?
CHI:	yeah .
FAT:	we don't know what happened .
CHI:	yeah .
FAT:	doctor will hafta fix that .
CHI:	yeah .
CHI:	with a needle .
FAT:	we rushed her to the hospital , didn't we ?
CHI:	yeah .
FAT:	mhm .
CHI:	that was terrible .
FAT:	I know it .
FAT:	that was scary .
CHI:	yeah .
FAT:	yeah .
FAT:	would you like me to write a letter for you ?
FAT:	you tell me what you wanna say to your friend Debbie_Cox ?
CHI:	yeah .
FAT:	and I'll write her a letter .
CHI:	I read .
FAT:	and we can mail it .
CHI:	I read it , okay ?
FAT:	okay , you tell me what you wanna write to her .
CHI:	okay .
FAT:	<I start> [/?] I'll start it .
FAT:	today is august .
CHI:	thursday .
FAT:	it's thursday .
CHI:	thursday .
FAT:	thursday ?
CHI:	yeah .
FAT:	and the month is august ?
CHI:	yeah .
FAT:	today is the twenty onest@n one thousand nine hundred eighty five .
FAT:	dear , Debbie .
CHI:	now let me .
FAT:	well , this is just how you start it .
FAT:	okay , you start your letter and you say .
FAT:	dear Debbie .
FAT:	dear Debbie_Cox ?
CHI:	let me read it , okay .
FAT:	okay .
FAT:	<dear Debbie_Cox> [/?] .
CHI:	now .
FAT:	okay now .
FAT:	what are you going to tell your friend Debbie .
CHI:	okay I tell her .
CHI:	won't you come over my house .
FAT:	won't you come over my house ?
CHI:	and won't you be happy to play with the smurf game .
FAT:	okay , won't you come over my house .
CHI:	and play .
FAT:	over .
CHI:	over .
FAT:	my house .
CHI:	house .
FAT:	won't you come over my house .
FAT:	and be happy ?
CHI:	no .
CHI:	come .
FAT:	won't you come over to my +/.
FAT:	over my house .
CHI:	wait .
FAT:	and +/.
CHI:	come over my house and won't you play smurf game .
FAT:	and won't you play with the smurf game .
FAT:	what else ?
CHI:	and won't you play doctor ?
FAT:	will you play doctor ?
CHI:	yeah .
CHI:	and won't you play +/.
FAT:	doctor .
FAT:	will you play doctor with me and +/.
FAT:	who's that ?
CHI:	you know .
FAT:	what's his name ?
FAT:	I forgot .
CHI:	buckwheat .
FAT:	no it's not buckwheat .
CHI:	Goony_googoo .
FAT:	won't you play doctor with me and Goony ?
CHI:	Googoo .
FAT:	Googoo .
CHI:	that's the bunny [/?] monkey's name .
FAT:	is that your monkey's name ?
CHI:	yeah .
FAT:	why is he in cabbage patch clothes ?
CHI:	he loves to .
FAT:	he loves to wear cabbage patch clothes ?
CHI:	yeah .
FAT:	oh , okay .
FAT:	<will you play doctor with me and Goony_googoo> [/?] .
FAT:	how about I miss you ?
FAT:	do you miss Debbie ?
FAT:	you do ?
CHI:	Debbie gonna come over my house here with Helen .
FAT:	with Helen ?
FAT:	you want her to come over with Helen ?
CHI:	yeah .
FAT:	and be in the movies .
CHI:	yeah .
FAT:	did you tell Helen ?
FAT:	oh , I know what we were [/?] going to show her .
CHI:	what ?
FAT:	where did I put it .
FAT:	it's something .
FAT:	Sharon went to where they make the real movies .
FAT:	and what did she get ?
CHI:	a rock .
FAT:	a rock .
FAT:	you can throw it at Helen if you want .
FAT:	throw it at her , go ahead .
FAT:	did Sharon get that at universal studios ?
CHI:	yeah .
FAT:	yeah .
CHI:	with gramma .
FAT:	with gramma ?
CHI:	yeah .
FAT:	yeah .
CHI:	my gramma .
FAT:	is that a real rock ?
CHI:	no .
FAT:	no .
CHI:	you missed .
FAT:	you missed .
FAT:	oops .
FAT:	here .
CHI:	no [/?] no .
CHI:	I gonna kill you this time .
FAT:	oh , .
FAT:	you didn't kill me .
CHI:	yeah .
FAT:	no you didn't .
CHI:	yeah .
FAT:	no , because you still need me .
FAT:	okay .
FAT:	and I miss you and I'll see you soon ?
FAT:	love penny ?
CHI:	yeah .
FAT:	oh , is that all you wanna say to her ?
CHI:	I love you won't you come over my house to play the smurf .
FAT:	and I love you .
CHI:	and I miss you .
FAT:	and I miss you .
CHI:	and won't you play doctor with me .
FAT:	okay , you already said that .
FAT:	okay .
FAT:	<I love you and I miss you> [/?] .
FAT:	penny [/?] .
FAT:	now let's spell your name .
CHI:	okay , p@l [/?] .
FAT:	p@l [/?] .
FAT:	a@l [/?] .
CHI:	I@l know how to .
CHI:	p@l [/?] .
FAT:	a@l [/?] .
CHI:	let me try .
CHI:	p@l [/?] .
FAT:	you do a p@l [/?] .
CHI:	okay .
CHI:	I know how mom .
FAT:	you know how to do one .
FAT:	p@l [/?] line with a fat belly .
FAT:	oh , that's good .
FAT:	that's a good p@l [/?] .
FAT:	that's a good +/.
FAT:	what's that ?
CHI:	u@l [/?] .
FAT:	well you don't hafta +/.
FAT:	you don't hafta put the top on it .
FAT:	okay .
FAT:	it was just a good u@l [/?] all by itself .
FAT:	alright ?
CHI:	I throw it at her .
FAT:	look .
FAT:	a u@l [/?] is like a horse+shoe .
FAT:	now let's do your name .
FAT:	okay , p@l [/?] .
FAT:	a@l [/?] .
CHI:	yeah .
FAT:	u@l [/?] .
CHI:	will you show me how to do a@l [/?] ?
FAT:	l@l [/?] .
FAT:	a@l [/?] .
CHI:	will you help me with my a@l [/?] ?
FAT:	yeah .
CHI:	you help me .
FAT:	okay .
FAT:	I'm gonna do two sticks leaning against each_other , okay ?
FAT:	we can do it in the yard with all our sticks , okay ?
FAT:	we can make them with sticks .
FAT:	you take this stick .
CHI:	no mom .
FAT:	wait , let me do one then you do it .
FAT:	first I'll show you , okay ?
CHI:	okay .
FAT:	like a tent .
FAT:	did you ever see a tent ?
FAT:	not like your tent but like a pop tent ?
FAT:	here we go .
FAT:	but here's two sticks .
FAT:	and they're leaning against each_other .
FAT:	and there's a bridge across .
FAT:	we can make more sticks in the yard , okay ?
FAT:	now I'll do dots .
CHI:	I connect them .
FAT:	and you connect them .
CHI:	okay .
CHI:	a a@l [/?] .
FAT:	okay , but you're going to draw a line down here .
FAT:	and a line down here .
FAT:	and <a line> [/?] a bridge across , okay ?
CHI:	mommy .
FAT:	okay , start from the top and down very carefully , okay ?
CHI:	okay .
FAT:	oop .
FAT:	no [/?] no , you don't , there's no dots there .
FAT:	you don't hafta connect that , okay ?
FAT:	just connect where the dots are .
FAT:	that's pretty good .
FAT:	that's pretty good .
FAT:	let's do +/.
FAT:	this pen doesn't write as good .
FAT:	we need a darker pen , right ?
CHI:	&mm [/?] .
FAT:	sometimes we can make it dark by going over and over it .
FAT:	okay , connect the dots .
CHI:	okay .
FAT:	down like that .
FAT:	and then connect the bridge going across .
FAT:	connect those dots .
FAT:	going across this way .
FAT:	no , here .
FAT:	start with the dots .
FAT:	this pen doesn't work good .
FAT:	do you want me do it one more time ?
CHI:	what's that book called ?
CHI:	oh , .
FAT:	what do you think it is ?
CHI:	a book .
FAT:	you knew already before you opened it , right ?
FAT:	you said what's that book called ?
FAT:	oh , find the animals .
FAT:	this is a good one .
CHI:	it's taped .
FAT:	I know it's okay .
FAT:	we'll just make a rip .
FAT:	I'll help you okay .
FAT:	I'll start a rip in it , and we'll pull together , alright ?
CHI:	it's taped .
FAT:	it's got cellophane all wrapped around .
FAT:	okay , now you pull .
FAT:	it's like a puzzle .
FAT:	you know when you open a new puzzle .
CHI:	okay .
FAT:	you hafta pull off the cellophane .
FAT:	that was easy , right ?
FAT:	okay , now .
FAT:	come here .
FAT:	move closer so I can see .
FAT:	now let's look at the front .
FAT:	this is going to be like hide and seek in pictures .
FAT:	they have thirty six pop open doors .
FAT:	and we hafta find the animals .
CHI:	okay .
FAT:	then we hafta name them .
CHI:	okay .
FAT:	what kind of animal is this ?
CHI:	a rabbit .
FAT:	and the door popped open to show a +/.
CHI:	bird .
FAT:	bird , yes .
FAT:	now , what are these ?
CHI:	ducks .
FAT:	those are swans .
CHI:	swans .
FAT:	okay .
FAT:	because they have long graceful necks .
FAT:	and they have +/.
FAT:	here sit down .
FAT:	I can pop this open .
FAT:	this is a test for me .
FAT:	oh , I found some doors .
CHI:	oh , .
FAT:	this is a little marshy pond .
FAT:	that's a heron .
CHI:	a heron .
FAT:	yeah .
FAT:	is that a heron ?
CHI:	yeah .
FAT:	I'm in trouble .
FAT:	let's see +/.
FAT:	<is there> [/?] is there a guide to this ?
FAT:	they stand on one leg .
CHI:	yeah .
FAT:	we see them down by the moose grass in Maine .
FAT:	or a snowy egret I don't know .
FAT:	what do you think this is ?
CHI:	a moose .
FAT:	okay .
FAT:	is this a heron ?
FAT:	and you know what ?
CHI:	what ?
FAT:	we have those up in Maine .
FAT:	two houses down from us in the blue house .
FAT:	the lady woke up early in the morning , and there was a moose in
FAT:	it was a girl moose because , or a young boy because he had &-uh
FAT:	and down in the marshy grass .
FAT:	where all the fishermen go .
FAT:	there was a heron .
FAT:	and there was a snowy egret .
FAT:	what is this ?
FAT:	where , oh , we didn't open all the in doors here .
CHI:	can I see .
FAT:	because we hafta find three small critters .
FAT:	that's a baby swan , little duckling f [/?] .
FAT:	wait a minute , I think there's one more .
FAT:	oh „ there's more than one more .
CHI:	what ?
FAT:	there is +/.
FAT:	oh , this is a great book .
FAT:	oh , wait .
FAT:	oh , this is a +/.
CHI:	frog .
FAT:	and what does he say ?
CHI:	<oink , oink> [/?] .
FAT:	<oink , oink> [/?] ?
FAT:	you and Debbie were [/?] doing frogs all summer .
FAT:	that's a good song .
FAT:	that's a good one .
FAT:	you were [/?] hopping around saying what frogs say .
FAT:	what do frogs say ?
CHI:	<oink , oink> [/?] .
FAT:	you're teasing me .
FAT:	are you teasing ?
CHI:	no .
FAT:	what does a frog say really ?
CHI:	a cow .
FAT:	you're teasing .
FAT:	okay .
FAT:	here is +/.
CHI:	a frog .
FAT:	no , what is that ?
FAT:	it moves very slowly and it has a shell on his back .
FAT:	look .
CHI:	a turtle .
FAT:	a turtle .
FAT:	when we went canoeing , what did we see ?
CHI:	a turtle .
FAT:	did +/.
CHI:	a snapper turtle .
FAT:	a snapping turtle , yes .
FAT:	we went down to turtle cove ?
CHI:	yeah .
FAT:	turtle cove in our canoe ?
FAT:	do you hafta be very quiet in your canoe ?
CHI:	yeah .
FAT:	I think some place is another hidden animal .
CHI:	what is it ?
FAT:	I don't know .
CHI:	a fish .
FAT:	I think that's a wide mouth bass .
CHI:	a wide mouth bass .
CHI:	looks like a man .
FAT:	did somebody catch a fish ?
CHI:	yeah .
FAT:	who caught a fish ?
FAT:	did you have your picture taken with the fish ?
CHI:	yeah .
FAT:	what were [/?] you doing ?
CHI:	me and Debbie were [/?] splashing a nose .
FAT:	you were [/?] going like this ?
FAT:	and standing beside the fish ?
CHI:	yeah .
FAT:	why ?
CHI:	I don't like a smell of the fish .
FAT:	you didn't like the smell of the fish ?
CHI:	no .
FAT:	do you think that man won the contest ?
CHI:	yeah .
FAT:	oh „ okay .
FAT:	now let's go back over it .
FAT:	one that's the biggest animal .
FAT:	is it a moose .
CHI:	yeah .
FAT:	right ?
FAT:	then the nest biggest is there two .
FAT:	is a heron ?
CHI:	no .
FAT:	three ?
CHI:	fish .
FAT:	four ?
CHI:	eight .
FAT:	four ?
CHI:	eight .
FAT:	five ?
CHI:	eight .
CHI:	eight .
FAT:	six ?
CHI:	eight .
FAT:	would you close the doors for me ?
CHI:	I no can't do it .
FAT:	oh , please .
FAT:	because they'll get all bent .
FAT:	and [/?] and the book won't be fun .
FAT:	if we don't close them .
FAT:	okay ?
FAT:	<one , two> [/?] .
CHI:	they're still open .
FAT:	I know but they won't bend too much .
FAT:	<three , four , five> [/?] .
FAT:	okay , now let's go on to the next page .
CHI:	oh , no .
FAT:	okay , what kind of animal smells ?
CHI:	fish .
FAT:	hm: [/?] ?
CHI:	fish .
FAT:	fish , they smell bad .
FAT:	these little animals .
FAT:	<they're black and white> [/?] .
FAT:	who scared the racoons away ?
CHI:	the cat .
FAT:	that's a black and white cat .
FAT:	but what kind of a cat .
FAT:	a cat that [/?] +/.
FAT:	it looks like a kitty cat .
FAT:	but it smells really bad .
FAT:	and it begins with an s@l [/?] .
FAT:	wait until she sees it then she'll know f [/?] .
FAT:	he scared the racoons away at Aunt_Roberta's house when hey were
FAT:	what kind of animal came along and scared them away with his +/.
CHI:	ad smell [?] kitty .
FAT:	a wood kitty though , right ?
CHI:	a wood kitty .
FAT:	yeah .
