participant	content
CHI:	yeah .
MOT:	maybe one baby wants to push the other baby in the stroller .
CHI:	mama .
MOT:	let me see you scared .
CHI:	yeah a kiss .
MOT:	push that in .
CHI:	xxx .
MOT:	at the table .
MOT:	does that look beautiful ?
CHI:	yeah .
CHI:	xxx .
CHI:	down .
MOT:	can you do the next one ?
CHI:	xxx .
CHI:	yeah .
CHI:	yeah .
MOT:	again .
CHI:	xxx .
MOT:	okay .
MOT:	here he is .
CHI:	yeah .
MOT:	you don't need help .
MOT:	how about if you +/.
MOT:	well , why don't you sit down ?
CHI:	xxx .
MOT:	you don't wanna sit up ?
MOT:	you need some help .
MOT:	do you know what's in there ?
CHI:	a xxx .
CHI:	don't need help .
CHI:	airplane .
MOT:	what's she gonna eat ?
CHI:	yeah .
MOT:	you don't know ?
CHI:	xxx .
CHI:	sad .
CHI:	need help .
CHI:	right there xxx .
CHI:	xxx mama .
MOT:	he's in the stroller .
CHI:	right here .
MOT:	how does mommy look ?
MOT:	let me see you smile .
CHI:	watch tv .
MOT:	I want you to give me a kiss .
MOT:	hm: [/?] ?
CHI:	yeah xxx ball .
MOT:	this hand ?
CHI:	baby toy .
CHI:	yeah .
CHI:	okay .
MOT:	is that a cowboy ?
CHI:	xxx .
CHI:	do that .
MOT:	oh , .
CHI:	mama .
CHI:	xxx .
CHI:	yeah one more time .
CHI:	xxx sad .
MOT:	there .
MOT:	oh , .
CHI:	xxx .
MOT:	push over here like this .
CHI:	xxx .
MOT:	mhm .
CHI:	xxx down .
CHI:	xxx .
CHI:	thank you .
CHI:	sit down .
MOT:	and the necklace yeah .
CHI:	yeah .
MOT:	that's kind of silly .
CHI:	night_night .
MOT:	let me see smily .
MOT:	there .
MOT:	okay .
CHI:	can't do it mama .
CHI:	yeah xxx .
MOT:	now do you wanna wear it ?
CHI:	what ?
MOT:	want some help ?
MOT:	who made the necklace ?
MOT:	okay .
CHI:	yeah .
MOT:	poor baby .
MOT:	you forgot how .
CHI:	can't do it mama .
MOT:	sit on top of the tv ?
MOT:	those babys like to watch tv , huh ?
CHI:	yeah .
MOT:	you goofy .
MOT:	that one too .
CHI:	what that mama ?
MOT:	you know why ?
MOT:	who's gonna wear it ?
MOT:	you'd rather do some more ?
MOT:	you wanna do that one ?
CHI:	okay .
CHI:	xxx .
MOT:	push it .
CHI:	ah [/?] .
CHI:	xxx xxx xxx go do this .
MOT:	cause you're not watching what you're doing .
MOT:	mhm .
MOT:	oh , .
CHI:	yeah look_it .
MOT:	let me see you crying .
MOT:	is it coming ?
CHI:	ah [/?] !
MOT:	look .
MOT:	a n [/?] .
MOT:	you think the baby likes to watch a tv ?
MOT:	come over here and put it on .
MOT:	huh [/?] ?
MOT:	you remember round and round the little ball .
MOT:	okay .
CHI:	oh , no .
MOT:	oh , .
CHI:	hard .
CHI:	xxx .
CHI:	here .
MOT:	look mike .
CHI:	pattycake .
MOT:	do you know what this is ?
MOT:	no ?
MOT:	again ?
MOT:	you don't want that ?
MOT:	you like to watch tv with the babys .
CHI:	yeah .
MOT:	alright .
MOT:	tie it up .
CHI:	xxx xxx that .
CHI:	xxx .
CHI:	what's in there mama ?
CHI:	orange .
CHI:	mama .
MOT:	mhm .
MOT:	do it to me again .
CHI:	sit down .
MOT:	now push again .
MOT:	apple .
CHI:	fall down .
CHI:	yeah right there .
MOT:	oh , .
MOT:	shall I tie it and make a necklace out_of it and you can wear it ?
MOT:	huh [/?] ?
CHI:	no .
MOT:	what were [/?] you gonna do ?
MOT:	which color do you wanna do now ?
CHI:	xxx .
MOT:	you're silly .
MOT:	let me see the baby kiss the other baby .
CHI:	night_night .
CHI:	oh , .
CHI:	right there .
CHI:	they're eating .
MOT:	back on you ?
MOT:	one in the stroller .
MOT:	there you go .
CHI:	yeah .
CHI:	xxx help .
CHI:	xxx .
MOT:	with your mouth .
MOT:	you're handsome with that necklace .
MOT:	what [/?] what's that ?
CHI:	okay , did it .
CHI:	over there .
CHI:	that a play+pen .
MOT:	do you sit on top of your tv ?
MOT:	can you give me a kiss like that ?
MOT:	okay .
MOT:	is that another bed ?
CHI:	huh [/?] ?
CHI:	xxx .
MOT:	sad .
MOT:	that's a tv .
CHI:	what ?
CHI:	mama .
CHI:	get in the bed .
MOT:	airplane , yeah .
CHI:	get out .
CHI:	mama .
CHI:	xxx .
MOT:	<what's on the> [/?] what's on the table ?
MOT:	can you do that ?
MOT:	a teddy bear .
CHI:	push it down .
MOT:	good job .
CHI:	don't want it .
MOT:	what happened ?
CHI:	don't know .
MOT:	orange , right .
MOT:	are you shooting yourself ?
MOT:	I thought it was a duck .
MOT:	with the string in a bow ?
CHI:	xxx .
CHI:	put it down mama .
CHI:	want out there xxx .
MOT:	pull it out now .
CHI:	it will fit mama .
CHI:	yeah .
MOT:	let me see you happy .
MOT:	you're being silly huh ?
MOT:	who did it ?
MOT:	fell down .
MOT:	put one more on .
CHI:	yeah .
MOT:	hm: [/?] .
CHI:	yeah .
CHI:	sit down .
CHI:	xxx .
CHI:	one , two .
MOT:	god bless you .
MOT:	I don't know .
MOT:	&mm [/?] .
MOT:	almost there .
MOT:	okay .
CHI:	yeah .
CHI:	okay , watch tv xxx .
CHI:	<wear wear> [/?] wear .
CHI:	what that .
MOT:	oh , look they're hugging each_other .
CHI:	watch tv .
MOT:	push .
CHI:	sit down .
MOT:	that's the baby ?
MOT:	who's gonna wear it ?
MOT:	no .
MOT:	can I take it off ?
MOT:	you don't need help .
CHI:	bye .
CHI:	ah [/?] !
CHI:	yeah .
MOT:	what do you think the baby wants to eat ?
