participant	content
MOT:	you hafta push it the same way .
CHI:	tie it up mama .
MOT:	Michael , okay .
CHI:	baby .
MOT:	do you wanna play pattycake ?
MOT:	yeah .
MOT:	okay .
MOT:	see .
MOT:	is mikie gonna watch tv ?
MOT:	they're going night_night ?
CHI:	xxx .
CHI:	get out .
CHI:	xxx .
CHI:	okay mama .
CHI:	<ah , ah> [/?] !
MOT:	help ?
CHI:	all done , mama .
MOT:	what do you call this toy ?
CHI:	fall down .
MOT:	oh , .
MOT:	on top of the tv ?
MOT:	you push it now .
CHI:	can't do it mama .
CHI:	need some help .
CHI:	okay .
CHI:	birdie .
MOT:	you do ?
CHI:	that's a apple .
CHI:	xxx .
CHI:	xxx right there .
MOT:	you forgot how .
MOT:	well , you push it some more .
MOT:	there you go .
MOT:	oh , .
MOT:	you and the babys go get the beads .
MOT:	mhm .
MOT:	I'll hold it and you push .
CHI:	don't know .
CHI:	xxx .
MOT:	do you know what this is ?
CHI:	oh , no .
CHI:	yeah .
CHI:	oh , !
MOT:	one more time ?
MOT:	huh [/?] ?
CHI:	pattycake .
MOT:	sad .
MOT:	here .
CHI:	mama .
MOT:	shall I tie it and make a necklace out_of it and you can wear it ?
MOT:	kiss me .
CHI:	xxx other one .
MOT:	is that another bed ?
CHI:	xxx .
CHI:	can't do it .
CHI:	yeah .
CHI:	yeah .
MOT:	oh , you're handsome .
CHI:	ah [/?] !
MOT:	what's that color ?
CHI:	fall down .
MOT:	I don't think that's really a bed .
MOT:	push .
CHI:	xxx .
CHI:	what that mama ?
MOT:	mhm .
CHI:	okay .
MOT:	should I do it to you ?
CHI:	on top tv .
MOT:	mhm .
MOT:	who made the necklace ?
MOT:	you wanna do that one ?
CHI:	xxx .
CHI:	xxx .
CHI:	oh , yeah .
MOT:	oh , .
MOT:	push it .
CHI:	sit on tv .
CHI:	xxx .
MOT:	what does the baby like to eat ?
MOT:	that's a tv .
MOT:	you goofy .
CHI:	watch tv .
CHI:	xxx .
MOT:	you give me a kiss .
MOT:	no you .
CHI:	xxx bed .
MOT:	you think the baby likes to watch a tv ?
MOT:	you kissing the baby .
CHI:	night_night .
MOT:	is it coming ?
MOT:	what a wild driver huh [/?] ?
CHI:	xxx .
MOT:	what happened ?
MOT:	boy those babys have a_lot to say huh [/?] ?
MOT:	you'd rather do some more ?
CHI:	mama .
CHI:	duck xxx .
MOT:	I don't know .
CHI:	xxx .
MOT:	there you go .
MOT:	over there .
CHI:	I need help .
CHI:	xxx .
CHI:	mom .
CHI:	xxx .
MOT:	do you wanna do it to me ?
CHI:	okay , did it .
CHI:	ah [/?] .
MOT:	good job .
MOT:	one more .
MOT:	no push .
MOT:	round and round the little ball .
MOT:	they're here .
MOT:	you do it .
MOT:	I want you to give me a kiss .
MOT:	back on you ?
MOT:	do you sit on top of your tv ?
MOT:	oop [/?] !
MOT:	here .
MOT:	you want me to help you get it out ?
CHI:	need help .
CHI:	want out there xxx .
MOT:	what is that ?
CHI:	one more time .
CHI:	that a play+pen .
MOT:	there you go .
MOT:	there .
MOT:	okay .
MOT:	hm: [/?] .
MOT:	it comes out the other side .
CHI:	watching .
CHI:	yeah .
CHI:	what that ?
MOT:	what happened ?
MOT:	apple .
CHI:	xxx .
MOT:	okay .
CHI:	need some help .
MOT:	what happened ?
MOT:	you know you could put one baby in the bed , one baby in the
MOT:	hm: [/?] ?
CHI:	yeah .
CHI:	sit .
CHI:	yeah .
MOT:	one more time .
MOT:	a n [/?] .
MOT:	let me see .
CHI:	okay .
MOT:	let me see you mad .
MOT:	you gotta push it just a bit more .
CHI:	xxx .
CHI:	yeah xxx .
CHI:	okay , watch tv xxx .
MOT:	let me see you smile .
MOT:	who's gonna wear it ?
MOT:	okay .
CHI:	mama .
CHI:	fell down .
MOT:	push this string .
MOT:	it fell out ?
MOT:	what do you wanna do now ?
CHI:	apple .
MOT:	push .
MOT:	yeah .
MOT:	<do you wanna see> [/?] let me see sad .
CHI:	ah [/?] !
MOT:	who did it ?
MOT:	come over here and put it on .
CHI:	fall down .
MOT:	with the string in a bow ?
MOT:	they're gonna have fun together ?
MOT:	they're all gonna watch tv ?
MOT:	sit on top of the tv ?
MOT:	let me see mad .
MOT:	okay .
CHI:	oh , !
CHI:	yeah .
MOT:	look .
CHI:	yeah xxx .
MOT:	well , why don't you sit down ?
MOT:	that's a beautiful nose .
CHI:	watch tv .
CHI:	yeah .
CHI:	orange .
CHI:	xxx .
CHI:	yeah .
MOT:	try a yellow one .
CHI:	okay .
CHI:	yeah .
CHI:	yeah a kiss .
MOT:	not again .
CHI:	sitting .
MOT:	no sad .
CHI:	xxx .
MOT:	push it a bit more honey .
CHI:	right there .
MOT:	I don't think the baby snores like that .
MOT:	fell down .
MOT:	there .
MOT:	again .
MOT:	can I take it off ?
MOT:	let me see you sleep now .
CHI:	xxx .
CHI:	ah [/?] .
CHI:	sit down .
CHI:	oh , yeah .
CHI:	sit down .
CHI:	need help .
CHI:	thank you .
CHI:	can't do it mama .
CHI:	xxx .
MOT:	you watching tv again ?
CHI:	yeah .
CHI:	xxx .
CHI:	can't do it mama .
MOT:	come on .
CHI:	hard .
CHI:	yeah .
CHI:	that too .
MOT:	almost there .
CHI:	xxx help .
MOT:	the other way .
MOT:	they'd rather watch tv ?
MOT:	push over here like this .
CHI:	oh , yeah .
CHI:	xxx .
MOT:	what am [/?] I sposta do ?
CHI:	hair .
CHI:	yeah .
MOT:	do you know what this is ?
MOT:	now do you wanna wear it ?
CHI:	yeah out .
CHI:	xxx .
MOT:	huh [/?] ?
MOT:	oop [/?] !
MOT:	push that in .
CHI:	I know .
MOT:	mhm .
MOT:	again ?
MOT:	what is it ?
MOT:	okay .
CHI:	huh [/?] ?
MOT:	a teddy bear .
CHI:	it will fit mama .
MOT:	lie down .
MOT:	oh , .
MOT:	okay .
CHI:	mama .
CHI:	no .
CHI:	can't do .
CHI:	get in the bed .
MOT:	he's in the stroller .
CHI:	xxx down .
CHI:	watch tv .
MOT:	okay .
CHI:	yeah right there .
CHI:	xxx sad .
MOT:	god bless you .
MOT:	can you do the next one ?
CHI:	on mama .
CHI:	what ?
MOT:	which hand ?
CHI:	yeah .
MOT:	you can't get it all the way in .
MOT:	where did your other baby go ?
MOT:	can you do that ?
MOT:	is that a cowboy ?
MOT:	you're being silly huh ?
CHI:	yeah .
MOT:	why don't you sit up , okay ?
CHI:	yeah .
MOT:	you're silly .
MOT:	what [/?] what's that ?
MOT:	there you go .
CHI:	one , two .
MOT:	you put one in .
MOT:	you're silly .
MOT:	that's quite a story .
CHI:	xxx .
MOT:	good .
CHI:	xxx mama .
CHI:	yeah .
MOT:	what a kiss huh [/?] ?
CHI:	down xxx xxx xxx xxx .
MOT:	and the necklace yeah .
MOT:	you got to push some more .
MOT:	hm: [/?] .
CHI:	yeah .
MOT:	okay .
MOT:	and how about this toy ?
MOT:	you need some help .
MOT:	again .
CHI:	what's in there mama ?
MOT:	here he is .
MOT:	with your mouth .
MOT:	tie it up .
CHI:	yeah .
CHI:	oh , .
MOT:	let me see happy .
CHI:	right here .
CHI:	yeah .
MOT:	I'm gonna take the phone off the hook .
CHI:	no .
CHI:	mama .
CHI:	yeah .
MOT:	what do you think the baby wants to eat ?
CHI:	yeah .
MOT:	orange , right .
CHI:	xxx xxx doing .
MOT:	push all the way .
MOT:	you do it .
CHI:	yeah .
CHI:	thank you .
CHI:	okay .
MOT:	they all fell on their heads .
MOT:	think you do another one ?
MOT:	there .
MOT:	how does mommy look ?
MOT:	okay .
CHI:	tv .
CHI:	yeah look_it .
CHI:	yeah .
MOT:	let me see smily .
CHI:	xxx mama .
MOT:	maybe one baby wants to push the other baby in the stroller .
MOT:	you wanna blow your nose ?
CHI:	oh , .
CHI:	okay .
CHI:	yeah .
CHI:	xxx xxx that .
MOT:	let me see .
CHI:	okay .
MOT:	yeah .
CHI:	baby toy .
MOT:	you don't need help .
CHI:	night_night .
MOT:	I thought you could do these .
CHI:	okay .
MOT:	Michael .
CHI:	yeah .
MOT:	now maybe one wants to play with the toys and watch tv .
MOT:	how about if you +/.
MOT:	mhm .
CHI:	sit down .
MOT:	don't you wanna wear a necklace ?
MOT:	you need a little help ?
MOT:	do it to me again .
CHI:	one , two .
MOT:	they're gonna get hurt over here .
MOT:	okay .
CHI:	mama .
CHI:	xxx .
CHI:	over there .
MOT:	that's called a play+pen .
CHI:	xxx .
MOT:	but you can do it now .
MOT:	the baby would rather watch tv ?
CHI:	xxx .
MOT:	mhm .
MOT:	you push it .
MOT:	oh , yeah .
CHI:	right there .
MOT:	okay .
MOT:	you'd rather kiss the baby than kiss me huh [/?] ?
MOT:	want some help ?
MOT:	look mike .
MOT:	what were [/?] you gonna do ?
MOT:	that's two .
MOT:	oh , .
CHI:	xxx .
CHI:	watch tv .
MOT:	I'm gonna move the babys over here .
MOT:	you want me to do it to you again ?
MOT:	I thought it was a duck .
MOT:	a little more .
MOT:	let me see .
MOT:	on mama .
MOT:	<what's on the> [/?] what's on the table ?
CHI:	airplane .
MOT:	hm: [/?] .
MOT:	can you give me a kiss ?
MOT:	that one too ?
MOT:	now pull it out .
MOT:	mhm .
CHI:	xxx .
MOT:	who's gonna wear it ?
CHI:	xxx .
CHI:	night_night .
MOT:	think it will +/.
CHI:	push it down .
CHI:	xxx the bed .
MOT:	do one more .
CHI:	here go .
CHI:	ah [/?] .
MOT:	oh , .
MOT:	push it .
CHI:	want out .
MOT:	push baby for a ride in the stroller .
CHI:	xxx .
CHI:	no can't do .
MOT:	why ?
MOT:	which color do you wanna do now ?
CHI:	yeah .
MOT:	do you know what's in there ?
CHI:	don't want it .
CHI:	xxx .
MOT:	baby's toys .
CHI:	ah [/?] .
MOT:	let me hear +/.
CHI:	what that ?
MOT:	why don't you go get the beads and we'll play with the beads .
CHI:	yeah .
MOT:	are you shooting yourself ?
MOT:	you think they're gonna give each_other a kiss ?
MOT:	no .
MOT:	push .
CHI:	mama .
MOT:	you think I can wear it too .
CHI:	xxx fall down .
MOT:	who is on the tv ?
MOT:	why don't you let baby sit in the chair and watch a tv ?
MOT:	let me see you happy .
CHI:	what that .
CHI:	oh , .
MOT:	oh , .
CHI:	yeah xxx ball .
CHI:	xxx sit down .
MOT:	you don't need help .
CHI:	do that .
CHI:	here .
MOT:	they look like they're lying on top of each_other .
MOT:	that's kind of silly .
CHI:	yeah .
MOT:	mhm .
MOT:	oh , look they're hugging each_other .
MOT:	no .
CHI:	the birdie .
CHI:	right there xxx .
MOT:	one more time .
CHI:	yeah .
CHI:	Michael .
CHI:	yeah .
MOT:	do you wanna wear it yet ?
CHI:	xxx .
MOT:	what are you doing ?
CHI:	whoa [/?] !
CHI:	yeah .
CHI:	mama .
MOT:	that's a hard one mike .
MOT:	that's the baby ?
CHI:	xxx .
CHI:	xxx the +/.
MOT:	what do you hear out there ?
MOT:	oh , .
MOT:	pull it out now .
MOT:	mhm .
CHI:	yeah one more time .
MOT:	let me see you sad .
MOT:	I know .
MOT:	okay .
MOT:	that one too .
CHI:	ah [/?] !
MOT:	let me see &-uh [/?] +/.
MOT:	let me get you a tissue .
MOT:	shall I tie it up ?
MOT:	now can you kiss me ?
CHI:	no .
CHI:	yeah .
MOT:	you can let baby play in the play+pen with her toys .
MOT:	other hand ?
MOT:	okay .
MOT:	over there .
MOT:	okay .
CHI:	xxx .
MOT:	bite your finger ?
MOT:	at the table .
MOT:	you did it .
MOT:	okay .
MOT:	just push it .
MOT:	get the beads .
MOT:	try it again .
CHI:	xxx mama .
MOT:	let me see the baby kiss the other baby .
MOT:	you remember round and round the little ball .
MOT:	push .
MOT:	let me see you crying .
CHI:	down .
CHI:	yeah .
CHI:	watch tv .
MOT:	do you think it will fit ?
CHI:	xxx .
MOT:	what's she gonna eat ?
MOT:	there .
CHI:	yeah .
CHI:	down .
CHI:	put it down mama .
MOT:	one more .
MOT:	can you give me a kiss like that ?
CHI:	yeah .
CHI:	sit down .
MOT:	you kiss me .
CHI:	ah [/?] !
CHI:	no .
MOT:	I'll hold it .
MOT:	you like to watch tv with the babys .
MOT:	you do the beads and I'll put the baby to sleep .
CHI:	yeah .
CHI:	yeah .
MOT:	yeah .
MOT:	I'd rather have your kisses .
CHI:	oh , xxx xxx down .
CHI:	okay .
MOT:	oh , .
MOT:	this hand ?
CHI:	xxx .
MOT:	how about you ?
MOT:	those babys like to watch tv , huh ?
MOT:	you don't need help .
MOT:	does that look beautiful ?
CHI:	that .
MOT:	with your mouth .
MOT:	oh , no you don't .
MOT:	one in the stroller .
MOT:	poor baby .
MOT:	yeah .
CHI:	mama .
CHI:	they're eating .
CHI:	yeah get out .
MOT:	let me do it to you now .
CHI:	xxx .
CHI:	xxx .
CHI:	Michael .
MOT:	let me see you scared .
MOT:	can I put it on me ?
MOT:	you .
MOT:	now what ?
CHI:	oh , .
MOT:	you know why ?
CHI:	xxx .
MOT:	you don't want that ?
CHI:	a xxx .
CHI:	yeah .
CHI:	sit down .
MOT:	does that look beautiful ?
CHI:	watch tv .
CHI:	xxx .
MOT:	alright .
CHI:	here it come .
CHI:	oh boy xxx xxx xxx xxx xxx .
MOT:	now push again .
CHI:	good .
MOT:	oh , .
CHI:	okay .
CHI:	xxx .
MOT:	let me hear you snore .
CHI:	oh , .
MOT:	yeah .
CHI:	bye .
CHI:	xxx xxx xxx go do this .
MOT:	you don't wanna sit up ?
CHI:	xxx .
CHI:	baby .
MOT:	and then we'll make a necklace out_of it .
MOT:	and one in the play+pen .
MOT:	airplane , yeah .
MOT:	they're eating there ?
CHI:	xxx .
CHI:	yeah .
CHI:	xxx .
CHI:	ah [/?] !
CHI:	yeah .
MOT:	you don't know ?
CHI:	that too mama .
MOT:	who sleeps like that ?
MOT:	can you give me a kiss ?
MOT:	good job .
MOT:	which hand ?
MOT:	put one more on .
MOT:	no ?
CHI:	again .
MOT:	cause you're not watching what you're doing .
CHI:	sad .
MOT:	&mm [/?] .
CHI:	don't need help .
MOT:	you're handsome with that necklace .
CHI:	<wear wear> [/?] wear .
CHI:	what ?
CHI:	xxx .
CHI:	xxx get out .
CHI:	yeah .
CHI:	watch tv .
