participant	content
CHI:	here , momma .
FAT:	what ?
FAT:	I'll get down .
FAT:	did he go around ?
FAT:	let me put a song on .
FAT:	baby .
CHI:	xxx Big_Bird xxx boo_boo .
FAT:	can you dance ?
FAT:	oh , fire engine ?
CHI:	momma xxx do .
CHI:	all done .
FAT:	right ?
CHI:	boo_boo .
FAT:	hey F [/?] .
FAT:	we [/?] we can't make a song appear .
FAT:	no , it isn't Bob .
FAT:	what's the kitty's name ?
CHI:	a truck .
FAT:	in the car ?
CHI:	xxx .
FAT:	don't +/.
FAT:	crashed into Billy .
FAT:	over there f [/?] ?
FAT:	okay , what color +/.
FAT:	Bob f [/?] .
FAT:	I'll put this one right here .
FAT:	was Stacey in today f [/?] ?
CHI:	okay .
FAT:	what's this ?
CHI:	xxx where daddy ?
CHI:	key in .
CHI:	go home .
FAT:	you snap it .
CHI:	yeah .
FAT:	come here .
CHI:	okay .
CHI:	cookies .
FAT:	what ?
FAT:	what's that ?
CHI:	boo_boo all better .
CHI:	okay .
FAT:	the school bus goes <beep , bep , beep , beep> [/?] .
CHI:	go home momma .
FAT:	you think it's funny ?
FAT:	does Billy drive in daddy's blue van ?
CHI:	gonna do doctor , okay ?
FAT:	okay .
FAT:	you can make a road , and drive these cars on there .
FAT:	yeah .
FAT:	okay f [/?] .
FAT:	say triangle .
FAT:	the trash goes in there and then you pull the little things and out
FAT:	this ?
CHI:	yeah .
FAT:	Bob f [/?] .
CHI:	fire engine .
FAT:	yeah , we know where Billy sits huh f [/?] ?
FAT:	momma do ?
CHI:	he go like this .
FAT:	he wants a hug .
FAT:	the blue van f [/?] .
CHI:	okay ?
CHI:	watch .
FAT:	oh , right there .
FAT:	can you say Helen ?
CHI:	people .
FAT:	get it over F [/?] +/.
CHI:	no .
FAT:	wow , I know .
FAT:	want do this ?
CHI:	byebye .
CHI:	hi !
FAT:	engine .
FAT:	give him a hug .
FAT:	you see all that rain coming down ?
FAT:	who's the doctor ?
FAT:	it's a bad guy F [/?] .
CHI:	get some medicine , daddy .
FAT:	where ?
FAT:	watch this .
FAT:	daddy's sleeping .
CHI:	microphone .
CHI:	rain .
FAT:	yeah , we'll put the cars in here .
FAT:	he's healthy !
FAT:	oh , snore .
CHI:	lion cry .
FAT:	<so we can play> [/?] look at the fire engine .
CHI:	momma watch .
FAT:	you wanna get down here with me ?
FAT:	wanna do this one ?
CHI:	byebye .
CHI:	how many cookies ?
CHI:	Billy's seat .
FAT:	Billy F [/?] .
FAT:	look .
FAT:	can you sing ?
CHI:	do that .
FAT:	huh ?
CHI:	go home .
FAT:	now what is this ?
FAT:	would you get off me with those clod+hoppers ?
FAT:	go see Sid later on , right ?
CHI:	it go on this side .
CHI:	money .
CHI:	put foot , momma .
FAT:	how many ?
CHI:	no .
FAT:	now put this one here ?
CHI:	no .
FAT:	no , I'm not gonna stop .
FAT:	can we show Helen how you can count to ten ?
CHI:	xxx drive .
CHI:	cry .
FAT:	what ?
FAT:	here it comes .
FAT:	oh , you're the baby ?
FAT:	alright , we gotta listen .
FAT:	no you don't help me , ah [/?] F [/?] .
FAT:	the piece is missing .
CHI:	yeah , no , hit it .
CHI:	song .
CHI:	xxx .
FAT:	I'm gonna get your car with the guys .
FAT:	no , it's going across .
FAT:	okay .
CHI:	black .
CHI:	momma , put it back !
FAT:	you wanna watch ?
FAT:	she got to write on her paper .
FAT:	Robert_John .
CHI:	momma .
FAT:	a hippopotamus say that .
FAT:	a bus , yeah .
CHI:	okay .
FAT:	don't break it .
CHI:	the blue van .
FAT:	he's crying .
FAT:	you wanna get another one ?
CHI:	yeah [/?] yeah .
FAT:	can we use the microphone ?
FAT:	whole bunch of cars .
FAT:	what a good doctor .
CHI:	racing car .
FAT:	you got a boo_boo F [/?] .
CHI:	gonna sing a song .
FAT:	what ?
FAT:	Big_Bird ?
CHI:	xxx .
FAT:	now medicine .
CHI:	xxx xxx get Big_Bird .
FAT:	yeah , see .
FAT:	what ?
FAT:	where do you wanna play it ?
FAT:	you put the key in .
FAT:	come here .
FAT:	what's that ?
CHI:	yeah [/?] yeah .
CHI:	it's daddy turn .
FAT:	hi Billy .
CHI:	uck [/?] a truck .
CHI:	down up .
CHI:	yeah .
FAT:	oh , he doesn't fall down the stairs .
CHI:	xxx ears .
FAT:	let's fold it up .
FAT:	come on .
FAT:	F_B_I_Joe F [/?] .
FAT:	you'll break the microphone .
FAT:	Billy .
FAT:	we'll line them up .
CHI:	Billy mouth .
FAT:	you are home .
CHI:	what ?
FAT:	come here .
FAT:	don't hit me .
CHI:	hi daddy .
FAT:	oh , look at that .
FAT:	I don't do it right .
FAT:	oh , no you knocked the tower over .
CHI:	blue .
FAT:	you fall , I know it .
FAT:	is it raining outside ?
FAT:	we'll hafta fix Ernie F [/?] .
CHI:	a song .
CHI:	all_gone .
CHI:	movie .
FAT:	baby Billy ?
FAT:	what color's this one ?
FAT:	daddy got a boo_boo ?
FAT:	hey Billy , what shape is this ?
FAT:	we'll put it back , okay .
FAT:	can you sing the song ?
FAT:	save your quarter ?
FAT:	there goes Blackie ?
FAT:	you talk .
FAT:	and , how about your blood pressure ?
CHI:	no .
CHI:	where Christopher ?
FAT:	now , what's this ?
CHI:	no .
CHI:	xxx .
CHI:	no .
FAT:	you wanna play with this ?
FAT:	how [/?] how ?
FAT:	what's this right here ?
CHI:	daddy boo .
FAT:	where's Christopher ?
FAT:	wanna help me ?
FAT:	and put it back .
FAT:	that's the way you turn it on .
FAT:	baby .
FAT:	oh , what a nice kid , huh ?
FAT:	can you name what these animals are ?
FAT:	hippo +/.
FAT:	what kind of a car is this ?
FAT:	want me to put it back ?
FAT:	no , you don't wanna help me ?
FAT:	so tell me , what's your teacher's name ?
FAT:	where's Billy f [/?] ?
FAT:	it's not a color F [/?] .
FAT:	xxx .
CHI:	xxx .
CHI:	xxx .
CHI:	fire engine .
FAT:	oh , you're the baby ?
FAT:	he's crying .
FAT:	oh , .
FAT:	are you gonna sleep over at Molly's house ?
CHI:	school bus .
CHI:	a da@c .
FAT:	Billy , do you know what this is ?
FAT:	I'm playing the guitar .
CHI:	five .
FAT:	what's this ?
FAT:	you're healthy .
FAT:	Bob f [/?] .
FAT:	no , we're not going to go see Sid now .
CHI:	paper .
CHI:	school bus .
CHI:	no .
FAT:	what color is it ?
FAT:	wanna do this one ?
FAT:	do you like that song ?
CHI:	song .
FAT:	Billy's belly .
FAT:	okay .
FAT:	okay .
CHI:	black .
FAT:	it's about rain .
FAT:	no f [/?] .
FAT:	xxx .
FAT:	I'll get the cars .
FAT:	I don't wanna get up F [/?] .
FAT:	you're being silly .
FAT:	look at this one .
FAT:	should we put them back in the bag ?
FAT:	hi !
FAT:	yep .
FAT:	okay .
FAT:	no .
FAT:	you go eeeee [/?] .
FAT:	oh , you wanna make a picture ?
FAT:	okay .
CHI:	okay .
FAT:	and on his arm .
FAT:	oh , .
FAT:	I don't see any ears .
FAT:	where is it ?
FAT:	look it .
FAT:	what color ?
FAT:	what shape is that ?
FAT:	yeah .
FAT:	put it on ?
CHI:	heard a song .
FAT:	okay , you're playing the guitar .
FAT:	what ?
FAT:	I don't know it .
CHI:	here a da@o .
FAT:	oh , Big_Bird looks in my ears ?
FAT:	we see it everytime .
FAT:	oh , you want Helen to go home !
FAT:	uhoh , does he have a boo_boo ?
FAT:	you want another G_I_Joe guy ?
FAT:	night_night .
FAT:	whoa [/?] did he get a boo_boo ?
FAT:	you're silly .
CHI:	xxx .
CHI:	xxx .
FAT:	Bob ?
CHI:	put it on daddy .
FAT:	on the road .
FAT:	what color's that car ?
FAT:	right here F [/?] .
FAT:	what's a fire engine do F [/?] ?
CHI:	xxx .
FAT:	oh , daddy's not going to sit on my lap .
FAT:	wet .
FAT:	check my heart F [/?] .
CHI:	circle .
FAT:	a da [: doctor] ?
CHI:	a da [: doctor] .
FAT:	yeah .
FAT:	what do you wanna play with ?
CHI:	put it back .
CHI:	stop .
FAT:	daddy drives a blue van , huh ?
FAT:	what's that ?
FAT:	yeah , Helen .
CHI:	put it back .
FAT:	from the rain .
CHI:	look momma .
FAT:	<one , two> [/?] .
CHI:	xxx like this .
CHI:	fire engine .
FAT:	hey , that's a key f [/?] .
CHI:	xxx .
FAT:	hi Bob .
CHI:	yeah .
FAT:	did Stacey go to school today ?
FAT:	it's going up .
FAT:	hey , you wanna be in the movies ?
CHI:	okay .
FAT:	sing happy birthday f [/?] .
CHI:	stuck .
FAT:	he's all wet .
FAT:	don't yell .
FAT:	<oh , what is> [/?] what's that ?
CHI:	here it comes .
CHI:	okay .
FAT:	this is Hotwheelscity .
FAT:	do you wanna hear a song again ?
FAT:	turn it around this way .
CHI:	go home .
CHI:	doctor .
FAT:	a song ?
CHI:	go get Big_Bird .
CHI:	momma .
FAT:	yes you are .
FAT:	Billy , who's doctor Bob F [/?] ?
FAT:	is Diane's car in there ?
FAT:	Billy F [/?] .
FAT:	you gotta show me .
FAT:	put the trash in there .
FAT:	Robert_John .
FAT:	you tell Helen that what you can sing real good is
CHI:	ah [/?] .
CHI:	right there .
FAT:	wanna sing a song ?
CHI:	no .
CHI:	momma do it .
FAT:	go to sleep then .
FAT:	down ?
CHI:	yeah .
CHI:	he cry .
CHI:	go right now , okay ?
FAT:	it's not a purple F [/?] .
FAT:	no , momma do ?
FAT:	well , take it to the gas station F [/?] .
FAT:	oh , you baby !
FAT:	look at daddy .
CHI:	right [/] right there .
FAT:	I'm all better .
CHI:	like that .
FAT:	what do you wanna hear a song again ?
FAT:	want me to bring your can in ?
FAT:	show me F [/?] .
CHI:	it stuck .
CHI:	momma .
FAT:	how many , one +/.
CHI:	momma drive .
FAT:	no , you go like this .
CHI:	yeah .
FAT:	medicine .
FAT:	you wanna play with this .
CHI:	daddy do .
CHI:	momma .
FAT:	this one keeps falling .
FAT:	oh , yeah , the little piece that was there is [/?] broken .
CHI:	monster .
FAT:	you hafta be careful with the kitty .
FAT:	what does Michael_Jackson sing ?
FAT:	<what if> [/?] let's put out +/.
FAT:	ah [/?] who got them ?
CHI:	xxx .
FAT:	are you gonna sleep over at Molly's house ?
FAT:	what ?
FAT:	is that daddy's blue van ?
FAT:	what f [/?] ?
CHI:	no , daddy .
FAT:	he fell , oh , no .
FAT:	blue .
FAT:	wow [/?] .
FAT:	be nice , come here .
FAT:	she's writing on her paper .
CHI:	where Diane car ?
FAT:	<no , no , no> [/?] no .
FAT:	Billy F [/?] .
CHI:	Billy doctor .
FAT:	go home with the man over there .
FAT:	show me what's a da@c .
CHI:	no , stop .
FAT:	is it raining out ?
FAT:	huh ?
CHI:	sing a song .
FAT:	oh , my hair let go .
CHI:	okay .
FAT:	ada@o ?
CHI:	no .
FAT:	on the roof .
FAT:	what did he fall ?
CHI:	Ernie go in the car .
CHI:	mama .
FAT:	who's doctor Bob ?
CHI:	john ?
FAT:	daddy's gonna do it .
FAT:	a lion , yes roar [/?] .
FAT:	here , what's that f [/?] ?
CHI:	down .
FAT:	what's that ?
CHI:	medicine .
FAT:	oh , I forgot to make the noise .
CHI:	van .
FAT:	look at me .
CHI:	uhoh .
FAT:	five ?
FAT:	Billy do .
FAT:	oh , mommy's sad .
CHI:	get a car .
FAT:	it is .
FAT:	momma do ?
CHI:	no .
FAT:	what ?
FAT:	yeah .
FAT:	take it off .
FAT:	rainbow , huh !
CHI:	I get him .
FAT:	okay , now take it out ?
CHI:	wanna momma down .
CHI:	momma do .
CHI:	fever .
CHI:	where the car ?
CHI:	he fall .
FAT:	wow .
FAT:	like this ?
FAT:	I found it .
FAT:	oh , that's right , he does it on your foot too .
FAT:	look at it .
FAT:	you tell Helen where you gonna sleep ?
FAT:	yeah .
FAT:	it's loud .
FAT:	daddy's what ?
FAT:	temperature .
CHI:	xxx .
CHI:	xxx .
CHI:	no .
FAT:	let's make a road with blocks again .
CHI:	go home .
FAT:	not red .
CHI:	doctor .
FAT:	say please .
FAT:	you'll hafta teach me how to pick them up F [/?] .
FAT:	yeah .
FAT:	watch him go around .
FAT:	okay .
FAT:	can you snap it back up ?
FAT:	want your juice ?
FAT:	look_it this .
FAT:	look at this .
FAT:	it's garbage .
FAT:	doctor Bob F [/?] .
FAT:	do you wanna use it ?
FAT:	yeah .
FAT:	uhoh , it's gonna work .
FAT:	I'm not going to rock him Rock_a_bye_baby !
FAT:	what's that ?
FAT:	where Billy sit ?
CHI:	like that .
CHI:	ah [/?] good , the blue van .
FAT:	sing .
FAT:	daddy's turn ?
CHI:	xxx .
FAT:	come here .
CHI:	birthday .
FAT:	huh ?
CHI:	stop that .
FAT:	throw everybody else out f [/?] .
FAT:	come here , let's go back to the cars Billy .
FAT:	what's the matter with you F [/?] ?
CHI:	paper .
CHI:	put it back .
CHI:	yeah .
FAT:	oh , give it to daddy ?
CHI:	quarter .
CHI:	Ernie .
CHI:	a da@c .
FAT:	okay , let me see you playing the guitar .
FAT:	okay .
FAT:	we put it in the blue van f [/?] .
FAT:	wanna play with the cards again ?
FAT:	what's the cat's name ?
CHI:	where daddy ?
FAT:	not red .
CHI:	come here .
FAT:	is that funny ?
FAT:	there's a microphone right there .
FAT:	go get them F [/?] .
FAT:	what's this called ?
CHI:	oh , xxx car .
FAT:	you're heavy .
FAT:	okay .
FAT:	okay .
FAT:	go home ?
FAT:	okay .
CHI:	it stuck .
CHI:	no .
CHI:	noise [/?] .
FAT:	ah [/?] he's okay !
CHI:	thermometer .
FAT:	wanna play with the car and the guys ?
CHI:	monkeys .
FAT:	I'm gonna go up your leg .
FAT:	can you say something ?
FAT:	oh , he does it right there too ?
FAT:	mama's turn ?
FAT:	a police .
CHI:	oh , look .
FAT:	what's that ?
FAT:	yeah .
FAT:	I don't wanna listen .
FAT:	let's count .
CHI:	sing a song .
CHI:	truck is broken .
CHI:	key go rrrrr [/?] .
FAT:	good .
FAT:	that's not a Big_Bird , that's Ernie F [/?] .
FAT:	in the ears ?
CHI:	Billy do doctor .
FAT:	how about some over here F [/?] ?
FAT:	you knocked the fire engine down .
FAT:	what's that ?
FAT:	oh , you like it loud .
CHI:	on roof .
FAT:	no ?
FAT:	don't throw .
FAT:	are you being fresh ?
FAT:	that's right .
FAT:	how many cookies you have today F [/?] ?
CHI:	all done .
FAT:	yes you are .
FAT:	elephant , yeah ?
FAT:	you don't wanna play no more huh [/?] ?
FAT:	two .
FAT:	come here , come here , come here .
CHI:	purple !
CHI:	guitar .
FAT:	what do you want ?
FAT:	what shape ?
FAT:	is that daddy's blue van ?
FAT:	Billy F [/?] .
CHI:	G_I_Joe .
CHI:	<yeah , yeah> [/?] yeah .
FAT:	what's that ?
CHI:	hi daddy .
