participant	content
CHI	a brush 
CHI	yeah 
CHI	 coffee  
MOT	okay what are you gonna do with him 
MOT	a tummy that's her tummy 
CHI	Daddy 
MOT	oh maybe she has a slippery head 
MOT	there you go you closed the box okay 
MOT	and that's why we have a spoon 
MOT	you got horsies 
MOT	that's Nala that's right 
MOT	look at all these blocks 
CHI	Daddy 
MOT	oh okay and what are we having for supper 
MOT	what do you do with the hat 
MOT	okay you're gonna stir it up 
CHI	make here 
CHI	ice 
MOT	oh that's right that's garbage okay 
MOT	yeah that's how you stir stuff in there 
CHI	Daddy's 
CHI	 coffee tea  
CHI	 
CHI	it's  
MOT	oh look let me take the block there you can stir stuff like this 
MOT	okay goes like this 
MOT	does Mommy get some tea 
CHI	huh 
CHI	 
CHI	  
MOT	that's good 
CHI	  
CHI	 
CHI	what 
CHI	what's that 
MOT	mhm what are you making 
MOT	Daddy has a spoon 
CHI	   
CHI	baby 
CHI	Daddy spoon 
MOT	what else is in there 
CHI	yeah 
MOT	oh well give it to Mommy 
MOT	there you go 
CHI	 Mommy 
MOT	that's a car oh we can have a teaparty 
MOT	what about Mommy 
MOT	what's that 
MOT	are you gonna put the blocks in the teacup 
CHI	tea 
CHI	 
CHI	Mommy's 
CHI	 Daddy's here Mommy 
MOT	you wanna put it in the truck 
MOT	where's the hat 
MOT	yeah 
CHI	this 
CHI	supper 
MOT	that one's for Daddy okay 
MOT	I don't know 
MOT	oh very nice 
CHI	  
MOT	does Mommy get tea too 
MOT	you wanna take the cup 
MOT	I don't know do we want her hat in our tea 
MOT	kay yeah 
CHI	here 
CHI	oh 
CHI	what's that 
MOT	mhm 
CHI	in coffee 
CHI	  
MOT	that's a phone 
MOT	oh Daddy gets tea 
MOT	push the buttons 
MOT	ah 
MOT	what else is in there 
CHI	 
MOT	okay ah 
MOT	what are we gonna do with all the blocks 
MOT	oh do you wanna talk to somebody 
MOT	that's another baby 
MOT	here okay 
MOT	yeah you can brush the doll's hair 
MOT	kay come back here 
MOT	you wanna brush her hair 
CHI	 
MOT	you gonna put the hat in there 
CHI	 there 
CHI	uhoh 
CHI	that's  
MOT	mhm wanna build a tower 
MOT	oh you gonna have a teaparty 
MOT	you wanna build a tower 
CHI	 
MOT	okay we're gonna have supper 
MOT	mhm 
MOT	tea 
CHI	it's  
MOT	oh I don't think it fits certain way in here 
CHI	ah  
MOT	you gonna put them back here 
CHI	in the cup 
MOT	I don't know it might fit 
MOT	you see it's a teacup 
MOT	what are we gonna do with the blocks 
MOT	you could build a tower too 
MOT	okay 
MOT	oh what is that 
CHI	 I make tea 
CHI	  
MOT	there's another cup in there 
CHI	 Daddy  
MOT	where are you going 
MOT	is it doing anything 
CHI	Daddy's  
MOT	that's nice you're doing a good_job yeah 
CHI	I wanna put it in 
MOT	you're making tea 
MOT	yeah those are her clothes mhm 
MOT	okay 
MOT	oh 
MOT	we got more here wow 
MOT	that's right 
CHI	 
MOT	that's a phone 
CHI	 
CHI	 
MOT	yeah you know when Mommy drinks tea you pour it in the cup 
MOT	here here's the doll 
MOT	wanna put the lid on the box 
MOT	what are we gonna do 
CHI	that's Nala 
MOT	wanna build a tower 
MOT	what do you wanna do 
MOT	that's a brush 
MOT	oh you're putting some milk in there 
MOT	oh that's for this 
CHI	yes 
MOT	oh 
MOT	you wanna put the hat in the cup okay 
CHI	woah   
MOT	yeah 
MOT	yeah okay 
MOT	oh a spoon 
MOT	you gonna put some blocks 
MOT	okay that's nice 
MOT	mhm does Mommy have a spoon too 
MOT	yeah you hafta brush her hair 
CHI	  
MOT	mm 
MOT	what does it do when you push the buttons 
MOT	okay you gonna make Mommy some tea 
CHI	what's that 
MOT	mhm 
MOT	one for Mommy one for Daddy 
CHI	 
MOT	mhm 
MOT	what is it 
CHI	that's a phone 
MOT	okay 
CHI	  
MOT	yeah you wanna build a tower 
MOT	yeah what are all these things Jack 
CHI	  
MOT	oh it changes pictures look 
MOT	oh we're gonna take them all out 
MOT	does Mommy get some tea 
MOT	okay 
MOT	those are her pants 
MOT	or is that Jack's spoon 
MOT	that's a teapot 
