participant	content
MOT	yeh 
MOT	yeh 
MOT	yeh we're gonna play with these ones 
CHI	yeh 
MOT	 
CHI	where 
CHI	Mommy 
MOT	 
MOT	ah 
CHI	 
MOT	there 
MOT	cool 
MOT	we're gonna play with the toys 
CHI	I had that one before 
CHI	 I wanna build and this and this and 
MOT	that's a fork 
MOT	 where are you gonna put that one 
MOT	that's a spoon honey 
MOT	uhoh 
CHI	oh 
CHI	but these are the big 
CHI	a big one 
MOT	there you go 
MOT	well you know what 
MOT	wanna make a tower 
CHI	 oh 
CHI	 
CHI	I  put it on her 
MOT	 xcuse me 
CHI	 
MOT	wow 
MOT	oh yeh 
CHI	girl 
CHI	ah 
CHI	where's the other one for  
MOT	uhhuh 
MOT	do you think the baby's thirsty 
MOT	that's right she brought her telephone 
CHI	oh 
CHI	 
MOT	it's a different telephone isn't it 
CHI	 
MOT	red and black 
MOT	what's this 
MOT	you gonna put the baby in the blanket 
CHI	that's a boy and that's a girl 
MOT	whoa 
CHI	yeh 
MOT	ya you do 
MOT	kay we'll do that later 
MOT	are they all nice and warm now 
CHI	I want show something 
CHI	horse 
CHI	  
CHI	that's a fork 
MOT	that's yours 
MOT	well in this one 
MOT	here you put this one  wherever you want 
CHI	they'll sleep here 
MOT	that's all there is 
CHI	that's a boy and that's a girl 
CHI	 
MOT	it's a little hard on  the blanket isn't it 
MOT	you're gonna wash it at the sink 
MOT	what are we drinking 
MOT	yeh 
CHI	they're like popsicles 
MOT	good_job 
CHI	this is the best for my girl 
MOT	mhm big orange one 
MOT	 thank_you 
MOT	won't we have cups 
CHI	and she brought her  her  
CHI	 these 
CHI	they were upstairs 
CHI	I wanna show 
CHI	 
CHI	 
CHI	that's mine 
MOT	Heidi brought all these toys for us to play with 
MOT	ya 
MOT	yeh 
CHI	no 
CHI	my girl 
CHI	in minute but not right now 
MOT	yeh 
CHI	yeh 
CHI	yeh 
MOT	yes they are 
MOT	what do you wanna show 
CHI	I going get my blankie 
MOT	 a horse 
MOT	okay 
MOT	whoa 
MOT	oh 
CHI	yeh 
MOT	Kaylee 
CHI	 maybe 
CHI	these are my babies 
MOT	mhm 
CHI	oops 
CHI	 
MOT	uhhuh 
MOT	what's on there 
CHI	I wanna go get my blankie 
CHI	 they hafta be like this 
CHI	yeh 
CHI	but but my toys are under that 
MOT	right 
MOT	do you think a plate will fit on it 
MOT	uhoh 
MOT	they're like popsicles 
MOT	you can use the telephone too 
MOT	and that one 
MOT	here why don't you stay here buddy 
MOT	it's like a little hat 
MOT	but not right yet 
CHI	yeh 
MOT	okay 
MOT	wanna put one on 
CHI	  
MOT	what do you think of this one 
CHI	deserbash 
CHI	  
MOT	you were calling Daddy earlier 
CHI	I have blocks too 
MOT	are you gonna drink with me 
CHI	red and black 
MOT	what are those 
MOT	they brother and sister 
CHI	there 
MOT	 whoa 
MOT	and spoons 
CHI	yeh 
MOT	yes you do have blocks 
MOT	good_job 
CHI	ah 
MOT	for a girl 
MOT	why don't we just play with these toys 
MOT	in the sun where they're nice and warm 
MOT	here do you wanna start 
CHI	 this 
MOT	Mommy's tower's gonna fall down 
CHI	mine 
CHI	 tea 
MOT	no 
MOT	you can use other things if you wanna 
CHI	good sleepie girls and boy 
MOT	 
MOT	mm yummy 
MOT	oops 
MOT	Kaylee why don't you stay here honey 
CHI	what's that 
CHI	but I'm going get  
MOT	you think baby's thirsty honey 
MOT	 that look like fun 
CHI	I needta put this on the chair 
MOT	ah  oh_well 
CHI	and then that 
CHI	 yeh 
CHI	I useta call it 
CHI	my   upstairs 
CHI	 
MOT	your girls 
CHI	for a girl 
MOT	got a little hat 
CHI	but these are the baby's  plates 
MOT	okay 
MOT	you wanna build another one 
MOT	there 
MOT	and you have a little snuggly for your doll if you wanna put him
MOT	 time to clean up 
MOT	okay 
MOT	they sleep right there 
CHI	oh 
MOT	tea can I have some tea 
CHI	 go get go  wash it at the sink kay 
CHI	but that's a fork 
MOT	mhm 
MOT	like that 
MOT	where do you wanna put that 
CHI	 Mommy 
MOT	yup 
MOT	 
