participant	content
MOT	 
MOT	come 
CHI	Mama 
MOT	come sit here 
MOT	thank you  sweetheart 
MOT	come sit here munchkin 
CHI	Mama 
MOT	what's that 
MOT	who are you calling 
CHI	  
MOT	truck 
CHI	 
MOT	let's put the block on the truck 
CHI	 
MOT	where should the truck go 
CHI	 
MOT	that's good 
CHI	hm this  
MOT	oh milk 
MOT	give the baby some milk 
CHI	this 
MOT	yeh 
CHI	milk 
MOT	milk 
CHI	   
MOT	put the milk in 
CHI	Mama 
MOT	that's right 
MOT	aw that's nice 
CHI	 
MOT	 you wanna give the baby 
MOT	aw  she's thirsty  
MOT	can I have some more 
CHI	yeh 
MOT	thank_you  
MOT	 mm thank_you 
MOT	does it fit in her mouth 
MOT	look 
MOT	there's a little hole there 
MOT	wait 
MOT	or maybe it's for this one 
MOT	no it's for this one 
MOT	look the baby's drinking the milk aw 
CHI	  
MOT	spoon 
CHI	 
MOT	are you giving her the milk with the spoon 
CHI	yeh 
MOT	oh that's nice 
CHI	 
MOT	it's hot 
CHI	 
MOT	okay 
MOT	let it cool down 
CHI	 
MOT	is it cold now 
CHI	  
MOT	okay so she could drink it 
CHI	 
MOT	what's in  there 
CHI	 
MOT	food 
CHI	 
MOT	okay give her some food she's hungry 
CHI	 
MOT	are you gonna give it to this baby too 
MOT	oh she's hungry 
CHI	 
MOT	aw  mm thank_you 
CHI	 
MOT	it's hot 
CHI	 
MOT	oh her hat 
MOT	yeh she's wearing a hat 
MOT	it's so pretty 
CHI	 
MOT	no she's  doesn't have a hat 
CHI	 
MOT	this baby has a hat 
CHI	 
MOT	you don't have a hat 
MOT	oh thank_you  
MOT	mm it's delicious 
CHI	 
MOT	is she eating cereal 
CHI	 
MOT	yeh 
CHI	 spoon 
MOT	spoon 
CHI	 
CHI	 my 
MOT	yours 
MOT	I know 
MOT	you wanna put it in your pocket 
CHI	no 
MOT	no 
MOT	just leave it there 
MOT	okay 
CHI	 
MOT	mm 
MOT	mm yummy 
CHI	 
CHI	 
MOT	it's hot 
CHI	 
MOT	okay 
CHI	go 
MOT	cold 
CHI	 
MOT	okay 
CHI	mulk  
MOT	milk  
CHI	 
MOT	 it's funny right 
CHI	 
MOT	it's a bottle  mm 
MOT	me too 
CHI	coco 
MOT	coco 
MOT	 
CHI	uhoh 
MOT	uhoh what happened 
CHI	 
MOT	baby fell down 
CHI	yeh 
MOT	aw pick him up 
MOT	ah kay 
MOT	there 
MOT	is this the mommy 
CHI	 
MOT	is this the mommy and this is the baby 
CHI	yeh 
MOT	yeh 
MOT	why don't you sit down properly George 
MOT	sit down 
CHI	 
MOT	is that more comfortable 
MOT	here 
CHI	 
MOT	so hungry 
CHI	 
MOT	they're so hungry the little babies  
CHI	eye 
MOT	eyes 
MOT	 
MOT	should Mommy buy you a baby 
CHI	no 
MOT	no you don't want a doll  oh look we'll take off her hat 
CHI	 
CHI	no 
MOT	no 
CHI	 
MOT	 
CHI	 
MOT	is it funny 
CHI	 
CHI	 
MOT	should we put the hat on the mommy 
CHI	 
MOT	oh her head's too big 
MOT	put it on the baby 
CHI	big 
MOT	too big 
MOT	does it fit on the baby 
MOT	let's see 
MOT	can I help you 
CHI	no 
MOT	okay you can do it yourself 
MOT	baby's so hungry 
CHI	Baba 
MOT	you want  to give it Baba's cereal 
CHI	yeh 
MOT	 
CHI	  
MOT	here's Baba's cereal  
MOT	could we put some milk 
CHI	 
MOT	where's the milk 
MOT	okay 
MOT	there that's Baba's cereal 
MOT	mm 
MOT	not in your mouth 
MOT	it's just for pretend not in your mouth 
MOT	for the baby okay 
MOT	 mm yummy 
MOT	 mm 
CHI	Baba 
MOT	Baba's cereal 
CHI	 
MOT	oh yeh delicious 
MOT	thank_you 
CHI	Baba 
MOT	thank_you 
CHI	Baba 
MOT	it's Baba's cereal 
MOT	yeh mm  
MOT	 baby's so hungry 
CHI	 
MOT	yeh 
CHI	 
MOT	hat 
CHI	 
MOT	her head 
CHI	 
MOT	you like her hair 
MOT	do you wanna brush her hair 
CHI	 
MOT	can Mommy brush her hair 
CHI	 
MOT	aw it's nice 
MOT	 aw it's beautiful 
CHI	   
MOT	baby doesn't have very much hair 
CHI	 
MOT	yes 
MOT	that's nice 
CHI	  
MOT	mommy's hungry too 
MOT	 mm 
CHI	yeh 
CHI	eye 
MOT	yeh her eyes 
CHI	 
MOT	 
