participant	content
MOT	hi  
MOT	oh you wanna talk to Lance okay here 
MOT	it's for you 
MOT	say hello 
MOT	say hello 
CHI	 
MOT	hello 
MOT	sit down so I can see you 
MOT	thank_you 
MOT	hello 
MOT	hello are you there 
MOT	hi what are you doing to me Lance  
MOT	okay bye 
MOT	press  press off 
MOT	press off 
MOT	turn it off 
MOT	look 
MOT	okay you gonna dial 
MOT	dial the numbers 
MOT	  
CHI	hello 
MOT	hello 
MOT	 is it for me 
MOT	is it for me 
CHI	  
MOT	is it for me 
MOT	no 
MOT	beep  
MOT	is it for her 
MOT	what's her name 
MOT	Sophie 
MOT	her name's Sophie 
MOT	  hello 
MOT	 you better answer 
MOT	say hello 
MOT	hello 
MOT	hi how are you 
CHI	 
MOT	yes is it Nana 
MOT	on the phone 
MOT	are you pressing the buttons 
MOT	your turn 
MOT	hello  
MOT	oh it's Lance's okay 
MOT	 
CHI	eidai 
MOT	oh she wants her bottle 
MOT	look she just woke up 
MOT	she wants her bottle 
MOT	are you gonna give her her bottle 
MOT	hm 
MOT	like that 
MOT	 dodo 
MOT	can you go to sleep 
MOT	she's drinking her milk 
MOT	you gonna give her her bottle now 
MOT	yeah she wants her milk eh 
MOT	she wants her bottle mm  
MOT	she's having her milk 
MOT	kay oh she's done 
MOT	thank_you 
MOT	and more  milk more bottle 
CHI	dodeh 
MOT	dodo time 
MOT	c'est le temp de faire dodo 
MOT	what about this baby 
MOT	this baby's smaller 
MOT	does she want a bottle too 
MOT	is it a girl or a boy 
MOT	little boy in pink in purple 
CHI	 
MOT	yeah what's  what happened to her eye 
MOT	it's open 
MOT	oh she woke up 
MOT	see her eyes open when she sits up 
MOT	she's awake 
MOT	maybe she's hungry 
MOT	you wanna feed her 
MOT	 here you could do it 
MOT	here you take that one I'll take this one 
MOT	yeah that's right she's hungry 
MOT	what about baby this baby 
MOT	 what are they eating breakfast 
MOT	oatmeal 
MOT	 mhm we hafta feed the babies huh 
MOT	 oh she fell down 
MOT	hey  
CHI	 
MOT	she fell down 
MOT	well maybe she wants something to drink ready 
MOT	I'm gonna you wanna pour it 
MOT	can you pour it 
MOT	look like this   
MOT	kay yeah  oh here let's put it in the middle 
MOT	if you need more you pour it okay 
MOT	mm stir it 
CHI	uhoh 
MOT	oh it fell down 
MOT	here let's move it okay 
CHI	uhoh 
MOT	oh 
CHI	 ah 
MOT	 oh she fell down 
MOT	what about the truck is the truck hungry 
MOT	 the truck needs gas 
CHI	 
MOT	 yeah nice truck 
MOT	 a dump truck 
MOT	what is the truck gonna carry a block 
MOT	can you pick up another block 
MOT	and the spoon 
MOT	what about this spoon 
MOT	that one too 
MOT	where's he gonna bring it over here 
MOT	are you gonna put that in there too 
MOT	oh it's starting to be a lot in your truck 
MOT	let's see   
CHI	uhoh 
MOT	oh no they fell out 
MOT	let's put them in please 
MOT	there 
MOT	okay ready 
MOT	  
CHI	  
MOT	oh dump it out dump 
MOT	dump it out  
MOT	everything out 
MOT	come get more 
MOT	here 
CHI	 
MOT	oh 
MOT	pile it up 
CHI	  
MOT	 
CHI	 
MOT	boom it's falling out 
MOT	uhoh I get to sneeze 
MOT	my nose 
MOT	oh you're piling it up 
CHI	 
MOT	boom 
MOT	  
MOT	 where did it go 
MOT	where's the truck 
MOT	I don't see it 
MOT	 
MOT	where's the truck 
MOT	is he picking up blocks 
CHI	 
MOT	woah look at the pile there 
MOT	is it gonna fall 
MOT	it's not falling 
MOT	oh it fell 
MOT	here can you put this one too 
MOT	okay 
CHI	oh 
MOT	oh_my_goodness it fell 
MOT	here what about these ones 
MOT	are these too much 
MOT	or can they fit 
CHI	 
MOT	lemme see 
MOT	wow you piled that up 
MOT	 oh 
CHI	 
MOT	 go get it 
MOT	go get it and bring it back 
MOT	thank_you 
MOT	oh thanks 
MOT	look what if we put the yellow round ones on top of the blue ones 
CHI	 
MOT	boom can you do that 
MOT	put the yellow on top of the blue 
MOT	thanks 
MOT	and the orange on the block on top of the yellow 
CHI	  
MOT	woah it's starting to get tall 
CHI	 
MOT	 boom hey 
CHI	boom  
MOT	oh you made it fall 
CHI	 
MOT	 
CHI	boom 
MOT	boom what if I do it like this 
MOT	will it be stronger 
MOT	will it be stronger 
MOT	where's the other blocks 
MOT	in the truck 
MOT	oh the trucks cleaning  over it all fell down 
MOT	thank_you 
MOT	which one first 
MOT	this one 
CHI	ehuhai 
MOT	this one 
CHI	ahzay 
MOT	two yellow 
CHI	 
MOT	 oh it fell 
MOT	she wants her  bottle 
MOT	 her eye keeps closing eh 
MOT	maybe she's half asleep 
MOT	 hm 
CHI	  
MOT	yeah she wants her bottle 
MOT	 
CHI	  
MOT	here can you  fill up my cup 
MOT	pour it in   
MOT	thank_you this cup too 
CHI	 
MOT	here so you can stir it 
CHI	 
MOT	uhoh here it spilled 
MOT	maybe the baby's hungry again 
MOT	look you're opening her eye huh 
MOT	oh I see her toes 
MOT	I see your toes 
MOT	her toes are just little  
CHI	 
MOT	 little baby toes 
MOT	I hear your brother whoops 
MOT	oh here's the plates 
CHI	dehdehda 
MOT	oh yes 
CHI	mhm 
MOT	you wanna put this in the truck 
CHI	 
MOT	woah  red truck 
MOT	dump truck 
MOT	is he going fast 
MOT	or is he going slow 
MOT	hm 
CHI	 
MOT	yeah oh right into the cup 
MOT	it's her cup 
MOT	is she hungry 
CHI	uhoh 
MOT	does she wanna sit up 
MOT	her eye will open if she sits up see 
MOT	open close open closed 
MOT	sitting up open 
CHI	 
MOT	yeah she has something on her eye 
MOT	do you  what is it 
MOT	what is it 
MOT	is it glue that makes it do that 
MOT	this one's stuck 
MOT	usually both of them open and close 
MOT	it's stuck open 
MOT	like me look 
MOT	look at me 
MOT	open close 
MOT	where's your eyes 
MOT	you wanna open stand her up 
MOT	see 
MOT	you just hafta put her upright 
CHI	  
MOT	yes is that her truck 
MOT	can she ride in the truck 
MOT	 can I see can she get in 
MOT	  
CHI	 
MOT	she fell 
MOT	 
CHI	 
MOT	 it's fun eh 
MOT	she's riding in a truck 
MOT	yeehaw 
CHI	 
MOT	 ah dump 
MOT	she fell 
MOT	the dump truck dumped her out 
MOT	here 
MOT	she wants to do it again 
CHI	 
MOT	whee 
CHI	 
MOT	  
CHI	 
MOT	no he's gonna go 
CHI	 
MOT	put her in  
CHI	  
MOT	  
MOT	oh  put her in 
MOT	kay ready set  boom 
CHI	  
MOT	you hafta hold her in eh 
MOT	look at her big tummy 
