participant	content
INV	we needta open the door 
CHI	 
INV	open the door 
CHI	 
INV	open the door 
INV	there's cookie 
CHI	  
INV	cookie 
INV	let's get it down 
INV	let's get it down 
INV	  
INV	cookie monster 
INV	cookie monster 
CHI	 
INV	cookie 
CHI	 
INV	okay 
INV	open his mouth 
INV	here's a heart cookie 
CHI	 
CHI	 
CHI	 
INV	here's a heart cookie 
INV	put it in 
CHI	  
INV	 
CHI	  
INV	here's the star cookie 
CHI	 
INV	open his mouth 
CHI	on  mark 
CHI	get set 
CHI	go 
INV	go 
INV	put it in 
CHI	 
CHI	 
INV	put it in 
CHI	 
CHI	 
INV	close the mouth 
CHI	 
CHI	  
CHI	  
CHI	 
INV	there you go 
INV	put it in 
CHI	  
INV	  
CHI	  
INV	there's a square cookie 
CHI	  
CHI	 
CHI	  
CHI	get set 
CHI	go 
CHI	 
INV	open his mouth 
CHI	 
INV	put it in 
CHI	 
CHI	  
CHI	 
INV	 
INV	 
CHI	  
INV	here's the  triangle cookie 
CHI	  
CHI	mark 
CHI	get set 
CHI	go 
INV	go 
CHI	 
CHI	 
INV	open his mouth [] 
CHI	 [] 
INV	open his mouth 
CHI	 
INV	open his mouth 
INV	put it in 
CHI	 
CHI	 
CHI	 
INV	mmmmm 
CHI	 
CHI	 
INV	here's the heart cookie 
INV	the heart cookie for Amy 
INV	I'm going to put it in 
INV	put it in 
INV	mmmmm 
INV	 
CHI	  
INV	this is for Riley 
INV	open his mouth 
CHI	 
INV	put it in 
INV	 
CHI	 
INV	here's the heart cookie for Amy [] 
CHI	 
INV	I'm going to  put it in 
INV	mmmm 
CHI	  
INV	here's the square cookie 
INV	for Riley 
CHI	 
CHI	mmmm 
INV	 
CHI	mmmm 
INV	mmmmm 
CHI	 
INV	here's the heart cookie for Amy 
INV	I'm gonna put it in 
INV	mmmmm 
CHI	 
CHI	 
INV	let's put cookie monster in the box 
CHI	 
INV	in the box 
INV	in the box 
INV	okay we're done 
CHI	  
INV	bye bye cookie 
INV	bye bye cookie 
INV	on the shelf 
INV	on the shelf 
INV	on the shelf 
INV	let's go play in the sand 
