participant	content
INV	you wanna go inside 
INV	wanna get some water 
INV	what do we do 
CHI	I want you to open the door 
INV	you want me to open the door 
INV	okay 
INV	help me 
INV	we're gonna pull it 
INV	pull it pull pull 
INV	there we go 
CHI	 
INV	 
INV	where we going Chi 
INV	where are we goin 
INV	what do we do here 
CHI	I want you to open the door 
INV	you want me to open the door 
INV	so will you help me push it 
CHI	 
INV	 
INV	Chi are we gonna count these 
INV	one two three 
CHI	four 
INV	four 
CHI	five 
INV	 [] 
CHI	 
INV	pull 
INV	what're you doing here 
INV	we've gotta pull open 
INV	pull 
INV	I'll do it 
INV	 thank you 
INV	close 
INV	watch out 
CHI	 
INV	oh bang 
CHI	  
INV	bang 
INV	ouch 
CHI	  
INV	owie ow 
INV	let's go to the gym 
INV	you rub it 
INV	yeah I'm sorry 
INV	I'm sorry 
INV	where's the gym 
INV	is it down there 
INV	 where's the gym 
CHI	 
INV	oh 
INV	you wanna get some water 
INV	we'll get you some water 
CHI	  
INV	what 
INV	does it hurt 
CHI	  
INV	Chi 
INV	Chi wanna go inside 
INV	let's go inside the gym 
INV	come on 
CHI	  
CHI	 
INV	yeah 
INV	you wanna help me open the door 
INV	will you help me 
INV	are we gonna pull it 
CHI	 
INV	thank you 
INV	nobody's in here Chi 
INV	do you wanna go outside 
INV	you wanna go outside 
CHI	 
INV	all rightie 
INV	all rightie 
CHI	 
INV	what is that 
INV	it's a door latch 
INV	okay 
INV	you gonna close the door for me 
INV	close the door 
CHI	 
INV	closed 
CHI	 
INV	okay 
INV	Chi you needta go pottie 
CHI	 
CHI	 
INV	are you singin me a song 
INV	Chi let's count 
INV	one little two little 
INV	three little indians 
CHI	 
INV	anything in there 
INV	there's nothin in there 
INV	push 
INV	push 
INV	push 
CHI	 
INV	where to baby 
CHI	 
INV	what do we do here 
CHI	I want you to open the door 
INV	I want you to open the door 
INV	okay I'll open the door for you 
INV	 
CHI	 
INV	where you goin 
INV	inside 
CHI	inside 
INV	inside 
CHI	inside 
INV	okay what do we hafta do 
INV	are we gonna pull the door 
CHI	pull a  door 
INV	 
INV	I got it 
INV	will you help me 
INV	pull 
INV	thank you 
CHI	 
INV	oh Play_doh 
INV	  
INV	you wanna play with the Play_doh 
CHI	 
INV	can you get it out Chi 
INV	can you get the Play_doh out 
INV	get it out 
CHI	 
INV	can I help you 
INV	look 
INV	look 
INV	  
CHI	 
INV	can you get more out 
INV	okay push it back in 
CHI	 
INV	you're gonna close it 
INV	you're gonna close it 
CHI	 
INV	all right 
INV	are you finished playing with Play_doh 
CHI	 
INV	Chi 
INV	Chi 
INV	Chi 
CHI	 
CHI	 
INV	drinking your juice 
INV	look what I've got 
CHI	 
INV	Chi 
INV	look Chi 
CHI	 
INV	look what I've got 
INV	oh boy 
INV	there's a horsie 
INV	a horse 
CHI	  
INV	is that a horse Chi 
CHI	e i e i 
INV	where does the horse 
INV	e i e i o 
INV	and on that farm he had a horse 
INV	e i e i o 
INV	with a neigh neigh here 
INV	and a neigh neigh there 
INV	here a neigh everywhere a neigh neigh 
INV	  
INV	Old McDonald had a 
INV	look at the pig 
INV	e i e i o 
INV	with an oink oink here 
INV	and an oink oink there 
INV	here an oink 
INV	there an oink 
INV	everywhere an oink oink 
INV	a horse 
INV	a cowboy 
INV	look 
INV	does the cowboy ride the horse 
INV	  
CHI	 
INV	cowboy 
CHI	 
CHI	 
INV	there 
INV	put the  can you put the cowboy on the horse 
INV	is he gonna ride the horse 
CHI	 
INV	can you put the cowboy on the horse Chi 
CHI	 
CHI	  
INV	look Chi 
INV	I'm gonna take the horse 
INV	and put the horse in the barn 
INV	let's put the horse in the barn 
INV	  
INV	open the door 
INV	let's put the horse in the barn 
INV	that's where the horse lives 
INV	I'm gonna close the doors 
INV	 where's the horse 
INV	where's the horse 
INV	we gonna open the doors to get the horse 
CHI	 
INV	close em 
INV	close em 
INV	where'd the horse go 
INV	open 
CHI	 
INV	there you go 
INV	open 
CHI	 
INV	 
INV	let's put the other horse in the barn 
INV	look Chi 
INV	put the other horse in the barn 
INV	open the door 
INV	can you put the horse in the barn 
CHI	 
INV	put the horse 
CHI	 
INV	gallop gallop 
CHI	 
INV	look 
INV	  
INV	can the horse run to the barn 
CHI	 
INV	why're  why're you going to close the barn 
INV	look 
INV	here's the other door 
CHI	 
INV	close it 
INV	latch it 
CHI	 
INV	close the door now 
INV	close it 
INV	  
INV	where does the cowboy go 
INV	 
CHI	 
INV	put the cowboy on the horse 
INV	does the cowboy ride the horse 
CHI	 
INV	very good 
INV	  
INV	where does the  where does the horse go 
INV	does it go in the barn 
CHI	 
INV	there's a horse 
INV	it's in the barn 
INV	you need more hands dontcha  
INV	can we put the horses in the barn 
INV	hi Tony 
INV	hi Tony 
INV	you wanna play 
INV	Chi can you show Tony how the cowboy rides the horse 
INV	 
INV	a yellow cow Chi 
INV	a yellow cow 
INV	have you heard of such a thing 
CHI	 
INV	where does the yellow cow go 
CHI	 
INV	and a pink pig 
INV	is that a horsie 
CHI	 
INV	what do you see Chi 
INV	those are little ducks 
INV	and a orange dog 
INV	is that a Lassie dog 
INV	it's orange Lassie 
CHI	 
INV	how do you open the door 
INV	open the door 
CHI	 
INV	oh there's the other horse 
INV	you knew where it was 
INV	 
INV	Chi where does the horse go 
INV	does the horse go in the barn 
INV	does the horse go in the barn 
INV	huh 
INV	 
INV	 
INV	Chi 
INV	let's put everything in the bucket 
INV	in the bucket 
INV	can you put the horse in the bucket 
CHI	 
INV	thank you 
INV	thank you 
INV	in the bucket 
CHI	 
INV	in the bucket 
INV	in the bucket 
INV	in the bucket 
INV	Chi can you put this in the bucket 
INV	thank you 
INV	 oh 
INV	gotta put it in the bucket 
CHI	 
INV	can you put the cowboy in the bucket 
INV	 
CHI	 
INV	Chi gonna help me  we gotta clean this up 
INV	put these in 
INV	in the bucket 
INV	in the bucket 
INV	hey Chi 
INV	put those in the bucket 
CHI	 
INV	go put your juice up 
INV	go put your juice in your  in the cubbyhole 
INV	 
INV	 
INV	okay Chi 
INV	let's put this up 
INV	come on Chi let's put the juice up 
CHI	 
INV	oh why not 
INV	is it open 
INV	 
INV	it's open 
INV	let's put your juice up 
CHI	 
INV	okay close it up 
INV	look 
CHI	 
INV	close it 
CHI	 
INV	close it 
INV	Chi let's put it up 
INV	will you help me put it up 
CHI	 
